"Case_IDs","SLC2A1","NTRK2","NDNF","SERPINB2","AP004608.1","NXPH4","TFAP2A","KRT13","AC116407.1","TOX3","TICRR","GRHL3","AP001972.5","GJB6","B4GALNT4","DPPA3P2","KRT16","MAP1LC3C","FAM83D","AC005537.2","RPS29P11","PITX1","E2F7","KCNMB2-AS1","AC027288.1","PDK4","GPR87","CHRNB4","ZIC2","LRRN4","DUSP9","GABRA3"
"TCGA-95-7947-01A",19.3079964798241,16.9420519531642,16.7292170808406,13.2837130323843,12.358583442569,13.576742862298,15.7735642271922,11.7495604150657,16.4853690434831,16.6102338674327,16.1419546652276,14.289344673432,20.3712410105458,13.7119274262553,10.4848776331156,11.0984378819229,11.3989725759683,12.6038863370667,16.9341877787076,8.05670116797938,14.6225652003445,14.3460893308939,15.6783212809037,13.8667034100236,10.0888785890714,17.7659793486262,15.051134055748,8.53001716787218,17.6266086498816,14.8355217261475,9.69973353954605,16.5986415638296
"TCGA-44-2668-11A",16.9666947673824,15.3706193620263,20.0873730552233,15.1951150127553,9.0823455157931,9.43791163742258,11.8229834826453,15.2432385773774,17.984156410502,13.2050309402699,13.5133549622076,11.0584234402897,21.0691825680052,10.3046652116616,9.78806381586888,14.041334205971,11.3572051880643,16.1005114450742,14.0642832145262,8.2540069895505,17.5285704144022,10.7454556738428,12.9345742871905,7.72766338642198,14.2491513717668,20.9755712854525,11.4889815911949,8.05670116797938,10.3077467732947,17.6535618209988,9.72820843418828,8.72406854455778
"TCGA-66-2785-01A",20.9938165804023,17.9189533447888,14.6887694936829,18.8048789256541,9.97204181902076,15.7246771953844,18.9377827895632,14.2083965477501,15.218673818577,12.1270024103814,15.7600291292115,14.6735691233015,17.5441973829799,15.0038036619881,16.219684300432,10.1590776240542,20.7845952696304,13.4766173929847,17.983477601617,14.24993377662,11.8229834826453,18.6928262770717,14.2847856124679,16.5733389415275,8.34385879724162,15.0182932398625,17.7730068102685,13.4298331582615,12.9594806107851,12.0252973379814,11.9562222826247,17.3820182036119
"TCGA-67-3771-01A",20.5031717147278,16.517581715039,18.5318945780533,9.15920903188544,16.7731241686063,16.0505165441674,15.6956852675217,11.8337707130083,13.8787644884798,16.8507314719843,14.449807726589,12.9469830583593,20.83843934704,16.9255545646707,16.8288125802935,13.713760316153,11.1132066465118,11.6558461468985,17.9756952005935,14.0683245575069,11.3703677671424,7.49393082683455,13.5425202209613,16.8082384188757,9.01194971690526,17.3850234871142,9.78414137123317,12.9012757859304,8.8821989360803,11.0334035729214,8.21192505043085,16.4889765307859
"TCGA-18-3417-01A",22.031705315071,19.5208571225718,16.7277086262251,13.280727483926,7.06208319158157,18.4028960953914,17.119103464645,24.0597308787304,13.2636516619986,11.0106716197844,15.1115672868685,15.7495461544709,16.5452250362942,18.2086552754832,15.4241664502953,12.1178232125729,21.0253826004866,13.1267266463612,18.1367454599729,15.484827119034,10.9023986651092,13.7695000215682,15.9159539341782,17.8081358025275,8.77384676000073,15.880067687217,18.7577891333577,13.2585616493538,16.5021550626596,9.8270445291673,16.755354926022,16.0896188505575
"TCGA-43-5670-01A",21.1684664984915,16.6922997392503,10.8017394040067,16.2740951666618,8.40584146907268,17.0475559512795,19.4529183092421,17.7884148839829,13.805603662873,9.94598177512678,17.6379543909705,16.6298719388498,15.5082099996534,18.5981836288085,16.9399099382424,10.2813781766637,19.2913721848394,11.164311952557,18.3435642794776,15.5513313646366,11.3047012717493,17.9118582785565,15.6151561951769,16.9759529123102,7.65102092746873,13.8736881668613,20.0447867990934,15.3158433577618,16.6378907821064,10.889046458985,19.0929270469196,17.7720272757857
"TCGA-44-5645-01A",17.8980393250859,14.3657622198818,19.286769163099,11.0836444664017,13.6691352677286,12.7017102194687,14.8762593147596,11.7021804052957,17.3883504213425,17.7897007493611,12.7324871178254,13.0422691141729,20.4503450770002,12.5025668615771,11.2774610898458,13.1864323031189,9.43791163742258,15.1583663826655,14.3483113285173,11.8886188539065,19.2533926778583,12.3700695764864,14.2272766639969,13.5962531324627,12.8084669946914,17.59121960729,7.58260445918953,9.69568793408673,11.444322102611,17.1149150673098,10.9427400751435,9.80795744452857
"TCGA-39-5035-01A",21.796300339139,18.4745243914677,15.7059803214369,13.5219471135882,8.79890391088879,20.1131990791405,18.3417457549969,15.1583663826655,12.8779853691715,11.0257464815366,15.3717409967179,14.0553703789318,17.065422166584,18.564879623067,16.9777312917137,10.2312201536175,23.640849358271,12.7202686315827,17.5512004056769,13.967413217899,10.6936761020636,19.5531988118936,15.5750161292257,17.1433655478703,8.91722683515691,16.7392782321005,20.4982262658834,14.5171587914164,17.6739318163089,12.2359267331069,10.9401488893882,14.3194456217388
"TCGA-60-2708-01A",23.2183684816045,19.4375464781902,14.7197650037104,12.7846136989411,5.59336224856158,18.9765255097169,18.1343040827144,20.9420194972408,12.1238472625938,15.4831727845219,15.508759482256,17.3776741760725,16.6873655074109,20.1889423342036,16.661984079492,10.4971992169982,24.5056743906573,12.8439775839205,18.028665292176,15.1790620568639,10.6181312158223,19.3747581928588,17.7035906194382,15.0838811494085,8.71080478316683,18.3587587157653,18.1901837444086,14.2132002787472,15.7135519807285,12.149114532546,15.8698938275075,15.7560540599994
"TCGA-85-8352-01A",20.7169452359166,14.9877787750924,11.3593780995164,7.4309938309868,8.67879638362331,12.5251692272867,19.8241045766892,15.3990138931189,14.3171926531331,13.7298630316577,17.5098167229517,15.1674468112825,17.4428052512383,12.9930127385154,17.679253528941,18.5519673417756,14.879640400191,11.8515630053262,18.0555216976816,14.633309670277,11.8140990013854,16.5756806724123,16.2736593714968,16.2568892592325,10.5370568323544,13.3516834172776,17.5175273037323,13.2926497151703,19.5863940827505,13.1539515148524,14.3270842560141,15.6828432525097
