"Case_IDs","S1PR5","AC236972.3","KRT13","AP004608.1","NXPH4","TFAP2A","NTRK2","GRHL3","TOX3","TICRR","SERPINB2","AC116407.1","AP001972.5","MUC21","SLC2A1","KRT16","B4GALNT4","GABRA3","MAP1LC3C","E2F7","GJB6","PITX1","RPS29P11","GNGT1","AC027288.1","GPR87","DUSP9","LRRN4","AC005537.2","CHRNB4","ZIC2","BBOX1-AS1"
"TCGA-95-7947-01A",14.3937048922911,10.7171474063345,11.7495604150657,12.358583442569,13.576742862298,15.7735642271922,16.9420519531642,14.289344673432,16.6102338674327,16.1419546652276,13.2837130323843,16.4853690434831,20.3712410105458,20.2209814119059,19.3079964798241,11.3989725759683,10.4848776331156,16.5986415638296,12.6038863370667,15.6783212809037,13.7119274262553,14.3460893308939,14.6225652003445,9.27423481235235,10.0888785890714,15.051134055748,9.69973353954605,14.8355217261475,8.05670116797938,8.53001716787218,17.6266086498816,13.8555535279148
"TCGA-44-2668-11A",13.8520825897337,16.1440952653029,15.2432385773774,9.0823455157931,9.43791163742258,11.8229834826453,15.3706193620263,11.0584234402897,13.2050309402699,13.5133549622076,15.1951150127553,17.984156410502,21.0691825680052,18.0517622262862,16.9666947673824,11.3572051880643,9.78806381586888,8.72406854455778,16.1005114450742,12.9345742871905,10.3046652116616,10.7454556738428,17.5285704144022,7.98665184581459,14.2491513717668,11.4889815911949,9.72820843418828,17.6535618209988,8.2540069895505,8.05670116797938,10.3077467732947,8.30366206698314
"TCGA-66-2785-01A",18.2826314337201,9.39694514833994,14.2083965477501,9.97204181902076,15.7246771953844,18.9377827895632,17.9189533447888,14.6735691233015,12.1270024103814,15.7600291292115,18.8048789256541,15.218673818577,17.5441973829799,13.5228833366683,20.9938165804023,20.7845952696304,16.219684300432,17.3820182036119,13.4766173929847,14.2847856124679,15.0038036619881,18.6928262770717,11.8229834826453,14.7141341405769,8.34385879724162,17.7730068102685,11.9562222826247,12.0252973379814,14.24993377662,13.4298331582615,12.9594806107851,16.0667411843554
"TCGA-67-3771-01A",10.9952723992103,8.45816776879792,11.8337707130083,16.7731241686063,16.0505165441674,15.6956852675217,16.517581715039,12.9469830583593,16.8507314719843,14.449807726589,9.15920903188544,13.8787644884798,20.83843934704,11.8990485139518,20.5031717147278,11.1132066465118,16.8288125802935,16.4889765307859,11.6558461468985,13.5425202209613,16.9255545646707,7.49393082683455,11.3703677671424,7.89153025387399,9.01194971690526,9.78414137123317,8.21192505043085,11.0334035729214,14.0683245575069,12.9012757859304,8.8821989360803,12.6556839806047
"TCGA-18-3417-01A",16.1940705579648,11.9320862535734,24.0597308787304,7.06208319158157,18.4028960953914,17.119103464645,19.5208571225718,15.7495461544709,11.0106716197844,15.1115672868685,13.280727483926,13.2636516619986,16.5452250362942,10.8838583964251,22.031705315071,21.0253826004866,15.4241664502953,16.0896188505575,13.1267266463612,15.9159539341782,18.2086552754832,13.7695000215682,10.9023986651092,15.6371871029662,8.77384676000073,18.7577891333577,16.755354926022,9.8270445291673,15.484827119034,13.2585616493538,16.5021550626596,15.8315603747676
"TCGA-43-5670-01A",19.9673715597596,11.0533174123212,17.7884148839829,8.40584146907268,17.0475559512795,19.4529183092421,16.6922997392503,16.6298719388498,9.94598177512678,17.6379543909705,16.2740951666618,13.805603662873,15.5082099996534,13.2145181375595,21.1684664984915,19.2913721848394,16.9399099382424,17.7720272757857,11.164311952557,15.6151561951769,18.5981836288085,17.9118582785565,11.3047012717493,15.0876559732828,7.65102092746873,20.0447867990934,19.0929270469196,10.889046458985,15.5513313646366,15.3158433577618,16.6378907821064,12.4959415002349
"TCGA-44-5645-01A",10.9374310657997,13.5794916533805,11.7021804052957,13.6691352677286,12.7017102194687,14.8762593147596,14.3657622198818,13.0422691141729,17.7897007493611,12.7324871178254,11.0836444664017,17.3883504213425,20.4503450770002,16.7009981647778,17.8980393250859,9.43791163742258,11.2774610898458,9.80795744452857,15.1583663826655,14.2272766639969,12.5025668615771,12.3700695764864,19.2533926778583,14.1539314675889,12.8084669946914,7.58260445918953,10.9427400751435,17.1149150673098,11.8886188539065,9.69568793408673,11.444322102611,11.6676629476713
"TCGA-39-5035-01A",17.0783410557594,8.83427648283946,15.1583663826655,8.79890391088879,20.1131990791405,18.3417457549969,18.4745243914677,14.0553703789318,11.0257464815366,15.3717409967179,13.5219471135882,12.8779853691715,17.065422166584,13.5295227523071,21.796300339139,23.640849358271,16.9777312917137,14.3194456217388,12.7202686315827,15.5750161292257,18.564879623067,19.5531988118936,10.6936761020636,15.2920802912707,8.91722683515691,20.4982262658834,10.9401488893882,12.2359267331069,13.967413217899,14.5171587914164,17.6739318163089,15.7383771013102
"TCGA-60-2708-01A",17.2081195411026,9.75216931610374,20.9420194972408,5.59336224856158,18.9765255097169,18.1343040827144,19.4375464781902,17.3776741760725,15.4831727845219,15.508759482256,12.7846136989411,12.1238472625938,16.6873655074109,10.7621777315353,23.2183684816045,24.5056743906573,16.661984079492,15.7560540599994,12.8439775839205,17.7035906194382,20.1889423342036,19.3747581928588,10.6181312158223,15.4979458768732,8.71080478316683,18.1901837444086,15.8698938275075,12.149114532546,15.1790620568639,14.2132002787472,15.7135519807285,15.5267387284331
"TCGA-85-8352-01A",16.9620498993188,9.38344005805908,15.3990138931189,8.67879638362331,12.5251692272867,19.8241045766892,14.9877787750924,15.1674468112825,13.7298630316577,17.5098167229517,7.4309938309868,14.3171926531331,17.4428052512383,9.01735939560233,20.7169452359166,14.879640400191,17.679253528941,15.6828432525097,11.8515630053262,16.2736593714968,12.9930127385154,16.5756806724123,11.8140990013854,16.2926039546903,10.5370568323544,17.5175273037323,14.3270842560141,13.1539515148524,14.633309670277,13.2926497151703,19.5863940827505,16.8415965484503
