"Case_IDs","S1PR5","AC236972.3","KRT13","TFAP2A","AP001972.5","AP004608.1","NXPH4","NTRK2","TOX3","TICRR","GRHL3","AC116407.1","SERPINB2","KRT16","MUC21","MAP1LC3C","SLC2A1","GJB6","GABRA3","B4GALNT4","DPPA3P2","DUSP9","PITX1","RPS29P11","FGFBP2","E2F7","AC005537.2","GPR87","AC027288.1","GNGT1","PCDHA12","FOXE1"
"TCGA-95-7947-01A",14.3937048922911,10.7171474063345,11.7495604150657,15.7735642271922,20.3712410105458,12.358583442569,13.576742862298,16.9420519531642,16.6102338674327,16.1419546652276,14.289344673432,16.4853690434831,13.2837130323843,11.3989725759683,20.2209814119059,12.6038863370667,19.3079964798241,13.7119274262553,16.5986415638296,10.4848776331156,11.0984378819229,9.69973353954605,14.3460893308939,14.6225652003445,12.738785999668,15.6783212809037,8.05670116797938,15.051134055748,10.0888785890714,9.27423481235235,11.1206238621487,11.427151589038
"TCGA-44-2668-11A",13.8520825897337,16.1440952653029,15.2432385773774,11.8229834826453,21.0691825680052,9.0823455157931,9.43791163742258,15.3706193620263,13.2050309402699,13.5133549622076,11.0584234402897,17.984156410502,15.1951150127553,11.3572051880643,18.0517622262862,16.1005114450742,16.9666947673824,10.3046652116616,8.72406854455778,9.78806381586888,14.041334205971,9.72820843418828,10.7454556738428,17.5285704144022,14.9282808135455,12.9345742871905,8.2540069895505,11.4889815911949,14.2491513717668,7.98665184581459,14.8670079659219,8.87041483008788
"TCGA-66-2785-01A",18.2826314337201,9.39694514833994,14.2083965477501,18.9377827895632,17.5441973829799,9.97204181902076,15.7246771953844,17.9189533447888,12.1270024103814,15.7600291292115,14.6735691233015,15.218673818577,18.8048789256541,20.7845952696304,13.5228833366683,13.4766173929847,20.9938165804023,15.0038036619881,17.3820182036119,16.219684300432,10.1590776240542,11.9562222826247,18.6928262770717,11.8229834826453,12.5897869361788,14.2847856124679,14.24993377662,17.7730068102685,8.34385879724162,14.7141341405769,8.27106697188206,15.2644651452366
"TCGA-67-3771-01A",10.9952723992103,8.45816776879792,11.8337707130083,15.6956852675217,20.83843934704,16.7731241686063,16.0505165441674,16.517581715039,16.8507314719843,14.449807726589,12.9469830583593,13.8787644884798,9.15920903188544,11.1132066465118,11.8990485139518,11.6558461468985,20.5031717147278,16.9255545646707,16.4889765307859,16.8288125802935,13.713760316153,8.21192505043085,7.49393082683455,11.3703677671424,10.1205176598697,13.5425202209613,14.0683245575069,9.78414137123317,9.01194971690526,7.89153025387399,10.9162437188652,9.76839917213228
"TCGA-18-3417-01A",16.1940705579648,11.9320862535734,24.0597308787304,17.119103464645,16.5452250362942,7.06208319158157,18.4028960953914,19.5208571225718,11.0106716197844,15.1115672868685,15.7495461544709,13.2636516619986,13.280727483926,21.0253826004866,10.8838583964251,13.1267266463612,22.031705315071,18.2086552754832,16.0896188505575,15.4241664502953,12.1178232125729,16.755354926022,13.7695000215682,10.9023986651092,10.2681214139737,15.9159539341782,15.484827119034,18.7577891333577,8.77384676000073,15.6371871029662,9.37901025037937,17.412258577612
"TCGA-43-5670-01A",19.9673715597596,11.0533174123212,17.7884148839829,19.4529183092421,15.5082099996534,8.40584146907268,17.0475559512795,16.6922997392503,9.94598177512678,17.6379543909705,16.6298719388498,13.805603662873,16.2740951666618,19.2913721848394,13.2145181375595,11.164311952557,21.1684664984915,18.5981836288085,17.7720272757857,16.9399099382424,10.2813781766637,19.0929270469196,17.9118582785565,11.3047012717493,12.3714431554634,15.6151561951769,15.5513313646366,20.0447867990934,7.65102092746873,15.0876559732828,15.0240440524054,18.7285626373804
"TCGA-44-5645-01A",10.9374310657997,13.5794916533805,11.7021804052957,14.8762593147596,20.4503450770002,13.6691352677286,12.7017102194687,14.3657622198818,17.7897007493611,12.7324871178254,13.0422691141729,17.3883504213425,11.0836444664017,9.43791163742258,16.7009981647778,15.1583663826655,17.8980393250859,12.5025668615771,9.80795744452857,11.2774610898458,13.1864323031189,10.9427400751435,12.3700695764864,19.2533926778583,10.7171474063345,14.2272766639969,11.8886188539065,7.58260445918953,12.8084669946914,14.1539314675889,9.22450101367836,11.4508517391823
"TCGA-39-5035-01A",17.0783410557594,8.83427648283946,15.1583663826655,18.3417457549969,17.065422166584,8.79890391088879,20.1131990791405,18.4745243914677,11.0257464815366,15.3717409967179,14.0553703789318,12.8779853691715,13.5219471135882,23.640849358271,13.5295227523071,12.7202686315827,21.796300339139,18.564879623067,14.3194456217388,16.9777312917137,10.2312201536175,10.9401488893882,19.5531988118936,10.6936761020636,9.96083687518106,15.5750161292257,13.967413217899,20.4982262658834,8.91722683515691,15.2920802912707,10.4054892784136,15.6062755561981
"TCGA-60-2708-01A",17.2081195411026,9.75216931610374,20.9420194972408,18.1343040827144,16.6873655074109,5.59336224856158,18.9765255097169,19.4375464781902,15.4831727845219,15.508759482256,17.3776741760725,12.1238472625938,12.7846136989411,24.5056743906573,10.7621777315353,12.8439775839205,23.2183684816045,20.1889423342036,15.7560540599994,16.661984079492,10.4971992169982,15.8698938275075,19.3747581928588,10.6181312158223,9.54876915501355,17.7035906194382,15.1790620568639,18.1901837444086,8.71080478316683,15.4979458768732,13.0827225134568,19.4144705546178
"TCGA-85-8352-01A",16.9620498993188,9.38344005805908,15.3990138931189,19.8241045766892,17.4428052512383,8.67879638362331,12.5251692272867,14.9877787750924,13.7298630316577,17.5098167229517,15.1674468112825,14.3171926531331,7.4309938309868,14.879640400191,9.01735939560233,11.8515630053262,20.7169452359166,12.9930127385154,15.6828432525097,17.679253528941,18.5519673417756,14.3270842560141,16.5756806724123,11.8140990013854,11.4033591794777,16.2736593714968,14.633309670277,17.5175273037323,10.5370568323544,16.2926039546903,11.7021804052957,16.3107274857285
