"Case_IDs","SLC2A1","NTRK2","TOX3","NXPH4","TFAP2A","KRT13","TICRR","AC116407.1","AP001972.5","GRHL3","MUC21","GJB6","KRT16","B4GALNT4","LRRN4","E2F7","AC005537.2","PITX1","DUSP9","GABRA3","AC027288.1","FAM83D","GPR87","RPS29P11","GNGT1","MAP1LC3C","PCDHA12","HOXC13","TNS4","ZIC2","FOXE1","AC008268.1"
"TCGA-95-7947-01A",19.3079964798241,16.9420519531642,16.6102338674327,13.576742862298,15.7735642271922,11.7495604150657,16.1419546652276,16.4853690434831,20.3712410105458,14.289344673432,20.2209814119059,13.7119274262553,11.3989725759683,10.4848776331156,14.8355217261475,15.6783212809037,8.05670116797938,14.3460893308939,9.69973353954605,16.5986415638296,10.0888785890714,16.9341877787076,15.051134055748,14.6225652003445,9.27423481235235,12.6038863370667,11.1206238621487,8.1136330866944,16.3632306908164,17.6266086498816,11.427151589038,14.4505518918697
"TCGA-44-2668-11A",16.9666947673824,15.3706193620263,13.2050309402699,9.43791163742258,11.8229834826453,15.2432385773774,13.5133549622076,17.984156410502,21.0691825680052,11.0584234402897,18.0517622262862,10.3046652116616,11.3572051880643,9.78806381586888,17.6535618209988,12.9345742871905,8.2540069895505,10.7454556738428,9.72820843418828,8.72406854455778,14.2491513717668,14.0642832145262,11.4889815911949,17.5285704144022,7.98665184581459,16.1005114450742,14.8670079659219,8.32794989509816,12.6204910661578,10.3077467732947,8.87041483008788,17.1478612470258
"TCGA-66-2785-01A",20.9938165804023,17.9189533447888,12.1270024103814,15.7246771953844,18.9377827895632,14.2083965477501,15.7600291292115,15.218673818577,17.5441973829799,14.6735691233015,13.5228833366683,15.0038036619881,20.7845952696304,16.219684300432,12.0252973379814,14.2847856124679,14.24993377662,18.6928262770717,11.9562222826247,17.3820182036119,8.34385879724162,17.983477601617,17.7730068102685,11.8229834826453,14.7141341405769,13.4766173929847,8.27106697188206,15.1638286483102,19.6338963748049,12.9594806107851,15.2644651452366,9.1336949040676
"TCGA-67-3771-01A",20.5031717147278,16.517581715039,16.8507314719843,16.0505165441674,15.6956852675217,11.8337707130083,14.449807726589,13.8787644884798,20.83843934704,12.9469830583593,11.8990485139518,16.9255545646707,11.1132066465118,16.8288125802935,11.0334035729214,13.5425202209613,14.0683245575069,7.49393082683455,8.21192505043085,16.4889765307859,9.01194971690526,17.9756952005935,9.78414137123317,11.3703677671424,7.89153025387399,11.6558461468985,10.9162437188652,7.71494952107103,13.7414354403687,8.8821989360803,9.76839917213228,9.93445803542442
"TCGA-18-3417-01A",22.031705315071,19.5208571225718,11.0106716197844,18.4028960953914,17.119103464645,24.0597308787304,15.1115672868685,13.2636516619986,16.5452250362942,15.7495461544709,10.8838583964251,18.2086552754832,21.0253826004866,15.4241664502953,9.8270445291673,15.9159539341782,15.484827119034,13.7695000215682,16.755354926022,16.0896188505575,8.77384676000073,18.1367454599729,18.7577891333577,10.9023986651092,15.6371871029662,13.1267266463612,9.37901025037937,14.8174557857292,18.297315810419,16.5021550626596,17.412258577612,11.2261580871457
"TCGA-43-5670-01A",21.1684664984915,16.6922997392503,9.94598177512678,17.0475559512795,19.4529183092421,17.7884148839829,17.6379543909705,13.805603662873,15.5082099996534,16.6298719388498,13.2145181375595,18.5981836288085,19.2913721848394,16.9399099382424,10.889046458985,15.6151561951769,15.5513313646366,17.9118582785565,19.0929270469196,17.7720272757857,7.65102092746873,18.3435642794776,20.0447867990934,11.3047012717493,15.0876559732828,11.164311952557,15.0240440524054,16.9649064173141,20.499447877832,16.6378907821064,18.7285626373804,9.11818188566873
"TCGA-44-5645-01A",17.8980393250859,14.3657622198818,17.7897007493611,12.7017102194687,14.8762593147596,11.7021804052957,12.7324871178254,17.3883504213425,20.4503450770002,13.0422691141729,16.7009981647778,12.5025668615771,9.43791163742258,11.2774610898458,17.1149150673098,14.2272766639969,11.8886188539065,12.3700695764864,10.9427400751435,9.80795744452857,12.8084669946914,14.3483113285173,7.58260445918953,19.2533926778583,14.1539314675889,15.1583663826655,9.22450101367836,13.7014324975045,12.4248616061244,11.444322102611,11.4508517391823,18.3833627456973
"TCGA-39-5035-01A",21.796300339139,18.4745243914677,11.0257464815366,20.1131990791405,18.3417457549969,15.1583663826655,15.3717409967179,12.8779853691715,17.065422166584,14.0553703789318,13.5295227523071,18.564879623067,23.640849358271,16.9777312917137,12.2359267331069,15.5750161292257,13.967413217899,19.5531988118936,10.9401488893882,14.3194456217388,8.91722683515691,17.5512004056769,20.4982262658834,10.6936761020636,15.2920802912707,12.7202686315827,10.4054892784136,18.4679569842953,19.0881893395475,17.6739318163089,15.6062755561981,9.4869834563874
"TCGA-60-2708-01A",23.2183684816045,19.4375464781902,15.4831727845219,18.9765255097169,18.1343040827144,20.9420194972408,15.508759482256,12.1238472625938,16.6873655074109,17.3776741760725,10.7621777315353,20.1889423342036,24.5056743906573,16.661984079492,12.149114532546,17.7035906194382,15.1790620568639,19.3747581928588,15.8698938275075,15.7560540599994,8.71080478316683,18.028665292176,18.1901837444086,10.6181312158223,15.4979458768732,12.8439775839205,13.0827225134568,15.6621715503906,20.3678638506619,15.7135519807285,19.4144705546178,9.1077783675419
"TCGA-85-8352-01A",20.7169452359166,14.9877787750924,13.7298630316577,12.5251692272867,19.8241045766892,15.3990138931189,17.5098167229517,14.3171926531331,17.4428052512383,15.1674468112825,9.01735939560233,12.9930127385154,14.879640400191,17.679253528941,13.1539515148524,16.2736593714968,14.633309670277,16.5756806724123,14.3270842560141,15.6828432525097,10.5370568323544,18.0555216976816,17.5175273037323,11.8140990013854,16.2926039546903,11.8515630053262,11.7021804052957,17.3195272371326,11.5056031223782,19.5863940827505,16.3107274857285,10.3930999419574
