"Case_IDs","KRT5","AC116407.1","GRHL3","AP004608.1","TICRR","TOX3","KRT13","NXPH4","TFAP2A","AP001972.5","NTRK2","SERPINB2","LRRN4","SLC2A1","B4GALNT4","KRT16","AC027288.1","FAM83D","GJB6","MAP1LC3C","PITX1","GABRA3","GPR87","DLX6","RPS29P11","DUSP9","LINC01748","AC008268.1","ZIC2","CHRNB4","FOXE1","AC005537.2"
"TCGA-95-7947-01A",15.9594318575093,16.4853690434831,14.289344673432,12.358583442569,16.1419546652276,16.6102338674327,11.7495604150657,13.576742862298,15.7735642271922,20.3712410105458,16.9420519531642,13.2837130323843,14.8355217261475,19.3079964798241,10.4848776331156,11.3989725759683,10.0888785890714,16.9341877787076,13.7119274262553,12.6038863370667,14.3460893308939,16.5986415638296,15.051134055748,15.9154628439537,14.6225652003445,9.69973353954605,6.78889772557681,14.4505518918697,17.6266086498816,8.53001716787218,11.427151589038,8.05670116797938
"TCGA-44-2668-11A",16.935255293372,17.984156410502,11.0584234402897,9.0823455157931,13.5133549622076,13.2050309402699,15.2432385773774,9.43791163742258,11.8229834826453,21.0691825680052,15.3706193620263,15.1951150127553,17.6535618209988,16.9666947673824,9.78806381586888,11.3572051880643,14.2491513717668,14.0642832145262,10.3046652116616,16.1005114450742,10.7454556738428,8.72406854455778,11.4889815911949,8.85816674658825,17.5285704144022,9.72820843418828,8.31173377326024,17.1478612470258,10.3077467732947,8.05670116797938,8.87041483008788,8.2540069895505
"TCGA-66-2785-01A",24.1098388695886,15.218673818577,14.6735691233015,9.97204181902076,15.7600291292115,12.1270024103814,14.2083965477501,15.7246771953844,18.9377827895632,17.5441973829799,17.9189533447888,18.8048789256541,12.0252973379814,20.9938165804023,16.219684300432,20.7845952696304,8.34385879724162,17.983477601617,15.0038036619881,13.4766173929847,18.6928262770717,17.3820182036119,17.7730068102685,12.6180390928393,11.8229834826453,11.9562222826247,14.8875645847906,9.1336949040676,12.9594806107851,13.4298331582615,15.2644651452366,14.24993377662
"TCGA-67-3771-01A",13.2351594066619,13.8787644884798,12.9469830583593,16.7731241686063,14.449807726589,16.8507314719843,11.8337707130083,16.0505165441674,15.6956852675217,20.83843934704,16.517581715039,9.15920903188544,11.0334035729214,20.5031717147278,16.8288125802935,11.1132066465118,9.01194971690526,17.9756952005935,16.9255545646707,11.6558461468985,7.49393082683455,16.4889765307859,9.78414137123317,8.18615224541926,11.3703677671424,8.21192505043085,12.2271764825,9.93445803542442,8.8821989360803,12.9012757859304,9.76839917213228,14.0683245575069
"TCGA-18-3417-01A",25.5638138994842,13.2636516619986,15.7495461544709,7.06208319158157,15.1115672868685,11.0106716197844,24.0597308787304,18.4028960953914,17.119103464645,16.5452250362942,19.5208571225718,13.280727483926,9.8270445291673,22.031705315071,15.4241664502953,21.0253826004866,8.77384676000073,18.1367454599729,18.2086552754832,13.1267266463612,13.7695000215682,16.0896188505575,18.7577891333577,15.6951747012682,10.9023986651092,16.755354926022,14.0911363466371,11.2261580871457,16.5021550626596,13.2585616493538,17.412258577612,15.484827119034
"TCGA-43-5670-01A",25.5085662744271,13.805603662873,16.6298719388498,8.40584146907268,17.6379543909705,9.94598177512678,17.7884148839829,17.0475559512795,19.4529183092421,15.5082099996534,16.6922997392503,16.2740951666618,10.889046458985,21.1684664984915,16.9399099382424,19.2913721848394,7.65102092746873,18.3435642794776,18.5981836288085,11.164311952557,17.9118582785565,17.7720272757857,20.0447867990934,15.8674503457163,11.3047012717493,19.0929270469196,15.1442719769715,9.11818188566873,16.6378907821064,15.3158433577618,18.7285626373804,15.5513313646366
"TCGA-44-5645-01A",13.7888974333629,17.3883504213425,13.0422691141729,13.6691352677286,12.7324871178254,17.7897007493611,11.7021804052957,12.7017102194687,14.8762593147596,20.4503450770002,14.3657622198818,11.0836444664017,17.1149150673098,17.8980393250859,11.2774610898458,9.43791163742258,12.8084669946914,14.3483113285173,12.5025668615771,15.1583663826655,12.3700695764864,9.80795744452857,7.58260445918953,10.8207244126688,19.2533926778583,10.9427400751435,8.21192505043085,18.3833627456973,11.444322102611,9.69568793408673,11.4508517391823,11.8886188539065
"TCGA-39-5035-01A",24.8600137837533,12.8779853691715,14.0553703789318,8.79890391088879,15.3717409967179,11.0257464815366,15.1583663826655,20.1131990791405,18.3417457549969,17.065422166584,18.4745243914677,13.5219471135882,12.2359267331069,21.796300339139,16.9777312917137,23.640849358271,8.91722683515691,17.5512004056769,18.564879623067,12.7202686315827,19.5531988118936,14.3194456217388,20.4982262658834,9.44722543892459,10.6936761020636,10.9401488893882,14.6169668822313,9.4869834563874,17.6739318163089,14.5171587914164,15.6062755561981,13.967413217899
"TCGA-60-2708-01A",25.511270337595,12.1238472625938,17.3776741760725,5.59336224856158,15.508759482256,15.4831727845219,20.9420194972408,18.9765255097169,18.1343040827144,16.6873655074109,19.4375464781902,12.7846136989411,12.149114532546,23.2183684816045,16.661984079492,24.5056743906573,8.71080478316683,18.028665292176,20.1889423342036,12.8439775839205,19.3747581928588,15.7560540599994,18.1901837444086,15.6052120349017,10.6181312158223,15.8698938275075,14.3331650029794,9.1077783675419,15.7135519807285,14.2132002787472,19.4144705546178,15.1790620568639
"TCGA-85-8352-01A",17.1218631765962,14.3171926531331,15.1674468112825,8.67879638362331,17.5098167229517,13.7298630316577,15.3990138931189,12.5251692272867,19.8241045766892,17.4428052512383,14.9877787750924,7.4309938309868,13.1539515148524,20.7169452359166,17.679253528941,14.879640400191,10.5370568323544,18.0555216976816,12.9930127385154,11.8515630053262,16.5756806724123,15.6828432525097,17.5175273037323,16.2075595153679,11.8140990013854,14.3270842560141,14.7998628420953,10.3930999419574,19.5863940827505,13.2926497151703,16.3107274857285,14.633309670277
