"Case_IDs","SLC2A1","NTRK2","TOX3","NXPH4","TFAP2A","KRT13","AC116407.1","TICRR","GRHL3","SERPINB2","AP001972.5","MUC21","GJB6","MAP1LC3C","DUSP9","E2F7","KRT16","BBOX1-AS1","LRRN4","PITX1","GABRA3","FAM83D","GPR87","AC027288.1","PDK4","RPS29P11","HOXC13","ZIC2","KCNMB2-AS1","FOXE1","SYT14","AC008268.1"
"TCGA-95-7947-01A",19.3079964798241,16.9420519531642,16.6102338674327,13.576742862298,15.7735642271922,11.7495604150657,16.4853690434831,16.1419546652276,14.289344673432,13.2837130323843,20.3712410105458,20.2209814119059,13.7119274262553,12.6038863370667,9.69973353954605,15.6783212809037,11.3989725759683,13.8555535279148,14.8355217261475,14.3460893308939,16.5986415638296,16.9341877787076,15.051134055748,10.0888785890714,17.7659793486262,14.6225652003445,8.1136330866944,17.6266086498816,13.8667034100236,11.427151589038,7.65102092746873,14.4505518918697
"TCGA-44-2668-11A",16.9666947673824,15.3706193620263,13.2050309402699,9.43791163742258,11.8229834826453,15.2432385773774,17.984156410502,13.5133549622076,11.0584234402897,15.1951150127553,21.0691825680052,18.0517622262862,10.3046652116616,16.1005114450742,9.72820843418828,12.9345742871905,11.3572051880643,8.30366206698314,17.6535618209988,10.7454556738428,8.72406854455778,14.0642832145262,11.4889815911949,14.2491513717668,20.9755712854525,17.5285704144022,8.32794989509816,10.3077467732947,7.72766338642198,8.87041483008788,8.74883635375513,17.1478612470258
"TCGA-66-2785-01A",20.9938165804023,17.9189533447888,12.1270024103814,15.7246771953844,18.9377827895632,14.2083965477501,15.218673818577,15.7600291292115,14.6735691233015,18.8048789256541,17.5441973829799,13.5228833366683,15.0038036619881,13.4766173929847,11.9562222826247,14.2847856124679,20.7845952696304,16.0667411843554,12.0252973379814,18.6928262770717,17.3820182036119,17.983477601617,17.7730068102685,8.34385879724162,15.0182932398625,11.8229834826453,15.1638286483102,12.9594806107851,16.5733389415275,15.2644651452366,14.3270842560141,9.1336949040676
"TCGA-67-3771-01A",20.5031717147278,16.517581715039,16.8507314719843,16.0505165441674,15.6956852675217,11.8337707130083,13.8787644884798,14.449807726589,12.9469830583593,9.15920903188544,20.83843934704,11.8990485139518,16.9255545646707,11.6558461468985,8.21192505043085,13.5425202209613,11.1132066465118,12.6556839806047,11.0334035729214,7.49393082683455,16.4889765307859,17.9756952005935,9.78414137123317,9.01194971690526,17.3850234871142,11.3703677671424,7.71494952107103,8.8821989360803,16.8082384188757,9.76839917213228,18.5141798512144,9.93445803542442
"TCGA-18-3417-01A",22.031705315071,19.5208571225718,11.0106716197844,18.4028960953914,17.119103464645,24.0597308787304,13.2636516619986,15.1115672868685,15.7495461544709,13.280727483926,16.5452250362942,10.8838583964251,18.2086552754832,13.1267266463612,16.755354926022,15.9159539341782,21.0253826004866,15.8315603747676,9.8270445291673,13.7695000215682,16.0896188505575,18.1367454599729,18.7577891333577,8.77384676000073,15.880067687217,10.9023986651092,14.8174557857292,16.5021550626596,17.8081358025275,17.412258577612,16.502935256099,11.2261580871457
"TCGA-43-5670-01A",21.1684664984915,16.6922997392503,9.94598177512678,17.0475559512795,19.4529183092421,17.7884148839829,13.805603662873,17.6379543909705,16.6298719388498,16.2740951666618,15.5082099996534,13.2145181375595,18.5981836288085,11.164311952557,19.0929270469196,15.6151561951769,19.2913721848394,12.4959415002349,10.889046458985,17.9118582785565,17.7720272757857,18.3435642794776,20.0447867990934,7.65102092746873,13.8736881668613,11.3047012717493,16.9649064173141,16.6378907821064,16.9759529123102,18.7285626373804,16.8023337626078,9.11818188566873
"TCGA-44-5645-01A",17.8980393250859,14.3657622198818,17.7897007493611,12.7017102194687,14.8762593147596,11.7021804052957,17.3883504213425,12.7324871178254,13.0422691141729,11.0836444664017,20.4503450770002,16.7009981647778,12.5025668615771,15.1583663826655,10.9427400751435,14.2272766639969,9.43791163742258,11.6676629476713,17.1149150673098,12.3700695764864,9.80795744452857,14.3483113285173,7.58260445918953,12.8084669946914,17.59121960729,19.2533926778583,13.7014324975045,11.444322102611,13.5962531324627,11.4508517391823,9.5443372954654,18.3833627456973
"TCGA-39-5035-01A",21.796300339139,18.4745243914677,11.0257464815366,20.1131990791405,18.3417457549969,15.1583663826655,12.8779853691715,15.3717409967179,14.0553703789318,13.5219471135882,17.065422166584,13.5295227523071,18.564879623067,12.7202686315827,10.9401488893882,15.5750161292257,23.640849358271,15.7383771013102,12.2359267331069,19.5531988118936,14.3194456217388,17.5512004056769,20.4982262658834,8.91722683515691,16.7392782321005,10.6936761020636,18.4679569842953,17.6739318163089,17.1433655478703,15.6062755561981,13.972329031738,9.4869834563874
"TCGA-60-2708-01A",23.2183684816045,19.4375464781902,15.4831727845219,18.9765255097169,18.1343040827144,20.9420194972408,12.1238472625938,15.508759482256,17.3776741760725,12.7846136989411,16.6873655074109,10.7621777315353,20.1889423342036,12.8439775839205,15.8698938275075,17.7035906194382,24.5056743906573,15.5267387284331,12.149114532546,19.3747581928588,15.7560540599994,18.028665292176,18.1901837444086,8.71080478316683,18.3587587157653,10.6181312158223,15.6621715503906,15.7135519807285,15.0838811494085,19.4144705546178,15.6828432525097,9.1077783675419
"TCGA-85-8352-01A",20.7169452359166,14.9877787750924,13.7298630316577,12.5251692272867,19.8241045766892,15.3990138931189,14.3171926531331,17.5098167229517,15.1674468112825,7.4309938309868,17.4428052512383,9.01735939560233,12.9930127385154,11.8515630053262,14.3270842560141,16.2736593714968,14.879640400191,16.8415965484503,13.1539515148524,16.5756806724123,15.6828432525097,18.0555216976816,17.5175273037323,10.5370568323544,13.3516834172776,11.8140990013854,17.3195272371326,19.5863940827505,16.2568892592325,16.3107274857285,11.5035331748234,10.3930999419574
