"Case_IDs","KRT5","AQP4","AP004608.1","GRHL3","TICRR","KRT13","AC116407.1","TFAP2A","NTRK2","AP001972.5","TOX3","NXPH4","SERPINB2","SLC2A1","MUC21","KRT16","DPPA3P2","B4GALNT4","GJB6","E2F7","RPS29P11","PITX1","AC005537.2","MAP1LC3C","DUSP9","GABRA3","AC027288.1","CHRNB4","GNGT1","GPR87","LRRN4","PCDHA12"
"TCGA-95-7947-01A",15.9594318575093,18.8783561460301,12.358583442569,14.289344673432,16.1419546652276,11.7495604150657,16.4853690434831,15.7735642271922,16.9420519531642,20.3712410105458,16.6102338674327,13.576742862298,13.2837130323843,19.3079964798241,20.2209814119059,11.3989725759683,11.0984378819229,10.4848776331156,13.7119274262553,15.6783212809037,14.6225652003445,14.3460893308939,8.05670116797938,12.6038863370667,9.69973353954605,16.5986415638296,10.0888785890714,8.53001716787218,9.27423481235235,15.051134055748,14.8355217261475,11.1206238621487
"TCGA-44-2668-11A",16.935255293372,22.1588487113855,9.0823455157931,11.0584234402897,13.5133549622076,15.2432385773774,17.984156410502,11.8229834826453,15.3706193620263,21.0691825680052,13.2050309402699,9.43791163742258,15.1951150127553,16.9666947673824,18.0517622262862,11.3572051880643,14.041334205971,9.78806381586888,10.3046652116616,12.9345742871905,17.5285704144022,10.7454556738428,8.2540069895505,16.1005114450742,9.72820843418828,8.72406854455778,14.2491513717668,8.05670116797938,7.98665184581459,11.4889815911949,17.6535618209988,14.8670079659219
"TCGA-66-2785-01A",24.1098388695886,16.7096451354225,9.97204181902076,14.6735691233015,15.7600291292115,14.2083965477501,15.218673818577,18.9377827895632,17.9189533447888,17.5441973829799,12.1270024103814,15.7246771953844,18.8048789256541,20.9938165804023,13.5228833366683,20.7845952696304,10.1590776240542,16.219684300432,15.0038036619881,14.2847856124679,11.8229834826453,18.6928262770717,14.24993377662,13.4766173929847,11.9562222826247,17.3820182036119,8.34385879724162,13.4298331582615,14.7141341405769,17.7730068102685,12.0252973379814,8.27106697188206
"TCGA-67-3771-01A",13.2351594066619,16.7764769887295,16.7731241686063,12.9469830583593,14.449807726589,11.8337707130083,13.8787644884798,15.6956852675217,16.517581715039,20.83843934704,16.8507314719843,16.0505165441674,9.15920903188544,20.5031717147278,11.8990485139518,11.1132066465118,13.713760316153,16.8288125802935,16.9255545646707,13.5425202209613,11.3703677671424,7.49393082683455,14.0683245575069,11.6558461468985,8.21192505043085,16.4889765307859,9.01194971690526,12.9012757859304,7.89153025387399,9.78414137123317,11.0334035729214,10.9162437188652
"TCGA-18-3417-01A",25.5638138994842,15.2473485896964,7.06208319158157,15.7495461544709,15.1115672868685,24.0597308787304,13.2636516619986,17.119103464645,19.5208571225718,16.5452250362942,11.0106716197844,18.4028960953914,13.280727483926,22.031705315071,10.8838583964251,21.0253826004866,12.1178232125729,15.4241664502953,18.2086552754832,15.9159539341782,10.9023986651092,13.7695000215682,15.484827119034,13.1267266463612,16.755354926022,16.0896188505575,8.77384676000073,13.2585616493538,15.6371871029662,18.7577891333577,9.8270445291673,9.37901025037937
"TCGA-43-5670-01A",25.5085662744271,9.39237415648424,8.40584146907268,16.6298719388498,17.6379543909705,17.7884148839829,13.805603662873,19.4529183092421,16.6922997392503,15.5082099996534,9.94598177512678,17.0475559512795,16.2740951666618,21.1684664984915,13.2145181375595,19.2913721848394,10.2813781766637,16.9399099382424,18.5981836288085,15.6151561951769,11.3047012717493,17.9118582785565,15.5513313646366,11.164311952557,19.0929270469196,17.7720272757857,7.65102092746873,15.3158433577618,15.0876559732828,20.0447867990934,10.889046458985,15.0240440524054
"TCGA-44-5645-01A",13.7888974333629,21.3852180609593,13.6691352677286,13.0422691141729,12.7324871178254,11.7021804052957,17.3883504213425,14.8762593147596,14.3657622198818,20.4503450770002,17.7897007493611,12.7017102194687,11.0836444664017,17.8980393250859,16.7009981647778,9.43791163742258,13.1864323031189,11.2774610898458,12.5025668615771,14.2272766639969,19.2533926778583,12.3700695764864,11.8886188539065,15.1583663826655,10.9427400751435,9.80795744452857,12.8084669946914,9.69568793408673,14.1539314675889,7.58260445918953,17.1149150673098,9.22450101367836
"TCGA-39-5035-01A",24.8600137837533,16.2062811127807,8.79890391088879,14.0553703789318,15.3717409967179,15.1583663826655,12.8779853691715,18.3417457549969,18.4745243914677,17.065422166584,11.0257464815366,20.1131990791405,13.5219471135882,21.796300339139,13.5295227523071,23.640849358271,10.2312201536175,16.9777312917137,18.564879623067,15.5750161292257,10.6936761020636,19.5531988118936,13.967413217899,12.7202686315827,10.9401488893882,14.3194456217388,8.91722683515691,14.5171587914164,15.2920802912707,20.4982262658834,12.2359267331069,10.4054892784136
"TCGA-60-2708-01A",25.511270337595,14.6714461553567,5.59336224856158,17.3776741760725,15.508759482256,20.9420194972408,12.1238472625938,18.1343040827144,19.4375464781902,16.6873655074109,15.4831727845219,18.9765255097169,12.7846136989411,23.2183684816045,10.7621777315353,24.5056743906573,10.4971992169982,16.661984079492,20.1889423342036,17.7035906194382,10.6181312158223,19.3747581928588,15.1790620568639,12.8439775839205,15.8698938275075,15.7560540599994,8.71080478316683,14.2132002787472,15.4979458768732,18.1901837444086,12.149114532546,13.0827225134568
"TCGA-85-8352-01A",17.1218631765962,12.0840775646931,8.67879638362331,15.1674468112825,17.5098167229517,15.3990138931189,14.3171926531331,19.8241045766892,14.9877787750924,17.4428052512383,13.7298630316577,12.5251692272867,7.4309938309868,20.7169452359166,9.01735939560233,14.879640400191,18.5519673417756,17.679253528941,12.9930127385154,16.2736593714968,11.8140990013854,16.5756806724123,14.633309670277,11.8515630053262,14.3270842560141,15.6828432525097,10.5370568323544,13.2926497151703,16.2926039546903,17.5175273037323,13.1539515148524,11.7021804052957
