"Case_IDs","S1PR5","AC116407.1","KRT13","TFAP2A","NXPH4","TOX3","NTRK2","TICRR","AP001972.5","GRHL3","MUC21","KRT16","SLC2A1","GABRA3","MAP1LC3C","GJB6","E2F7","CHRNB4","PITX1","RPS29P11","B4GALNT4","GPR87","DUSP9","LRRN4","KCNMB2-AS1","AC027288.1","FOXE1","AC005537.2","ZIC2","SCEL","TNS4","HOXC13"
"TCGA-95-7947-01A",14.3937048922911,16.4853690434831,11.7495604150657,15.7735642271922,13.576742862298,16.6102338674327,16.9420519531642,16.1419546652276,20.3712410105458,14.289344673432,20.2209814119059,11.3989725759683,19.3079964798241,16.5986415638296,12.6038863370667,13.7119274262553,15.6783212809037,8.53001716787218,14.3460893308939,14.6225652003445,10.4848776331156,15.051134055748,9.69973353954605,14.8355217261475,13.8667034100236,10.0888785890714,11.427151589038,8.05670116797938,17.6266086498816,16.1089272180333,16.3632306908164,8.1136330866944
"TCGA-44-2668-11A",13.8520825897337,17.984156410502,15.2432385773774,11.8229834826453,9.43791163742258,13.2050309402699,15.3706193620263,13.5133549622076,21.0691825680052,11.0584234402897,18.0517622262862,11.3572051880643,16.9666947673824,8.72406854455778,16.1005114450742,10.3046652116616,12.9345742871905,8.05670116797938,10.7454556738428,17.5285704144022,9.78806381586888,11.4889815911949,9.72820843418828,17.6535618209988,7.72766338642198,14.2491513717668,8.87041483008788,8.2540069895505,10.3077467732947,18.7156942575932,12.6204910661578,8.32794989509816
"TCGA-66-2785-01A",18.2826314337201,15.218673818577,14.2083965477501,18.9377827895632,15.7246771953844,12.1270024103814,17.9189533447888,15.7600291292115,17.5441973829799,14.6735691233015,13.5228833366683,20.7845952696304,20.9938165804023,17.3820182036119,13.4766173929847,15.0038036619881,14.2847856124679,13.4298331582615,18.6928262770717,11.8229834826453,16.219684300432,17.7730068102685,11.9562222826247,12.0252973379814,16.5733389415275,8.34385879724162,15.2644651452366,14.24993377662,12.9594806107851,15.2282007728673,19.6338963748049,15.1638286483102
"TCGA-67-3771-01A",10.9952723992103,13.8787644884798,11.8337707130083,15.6956852675217,16.0505165441674,16.8507314719843,16.517581715039,14.449807726589,20.83843934704,12.9469830583593,11.8990485139518,11.1132066465118,20.5031717147278,16.4889765307859,11.6558461468985,16.9255545646707,13.5425202209613,12.9012757859304,7.49393082683455,11.3703677671424,16.8288125802935,9.78414137123317,8.21192505043085,11.0334035729214,16.8082384188757,9.01194971690526,9.76839917213228,14.0683245575069,8.8821989360803,15.5534758172607,13.7414354403687,7.71494952107103
"TCGA-18-3417-01A",16.1940705579648,13.2636516619986,24.0597308787304,17.119103464645,18.4028960953914,11.0106716197844,19.5208571225718,15.1115672868685,16.5452250362942,15.7495461544709,10.8838583964251,21.0253826004866,22.031705315071,16.0896188505575,13.1267266463612,18.2086552754832,15.9159539341782,13.2585616493538,13.7695000215682,10.9023986651092,15.4241664502953,18.7577891333577,16.755354926022,9.8270445291673,17.8081358025275,8.77384676000073,17.412258577612,15.484827119034,16.5021550626596,14.2709300884498,18.297315810419,14.8174557857292
"TCGA-43-5670-01A",19.9673715597596,13.805603662873,17.7884148839829,19.4529183092421,17.0475559512795,9.94598177512678,16.6922997392503,17.6379543909705,15.5082099996534,16.6298719388498,13.2145181375595,19.2913721848394,21.1684664984915,17.7720272757857,11.164311952557,18.5981836288085,15.6151561951769,15.3158433577618,17.9118582785565,11.3047012717493,16.9399099382424,20.0447867990934,19.0929270469196,10.889046458985,16.9759529123102,7.65102092746873,18.7285626373804,15.5513313646366,16.6378907821064,16.0008465601841,20.499447877832,16.9649064173141
"TCGA-44-5645-01A",10.9374310657997,17.3883504213425,11.7021804052957,14.8762593147596,12.7017102194687,17.7897007493611,14.3657622198818,12.7324871178254,20.4503450770002,13.0422691141729,16.7009981647778,9.43791163742258,17.8980393250859,9.80795744452857,15.1583663826655,12.5025668615771,14.2272766639969,9.69568793408673,12.3700695764864,19.2533926778583,11.2774610898458,7.58260445918953,10.9427400751435,17.1149150673098,13.5962531324627,12.8084669946914,11.4508517391823,11.8886188539065,11.444322102611,15.8143747512986,12.4248616061244,13.7014324975045
"TCGA-39-5035-01A",17.0783410557594,12.8779853691715,15.1583663826655,18.3417457549969,20.1131990791405,11.0257464815366,18.4745243914677,15.3717409967179,17.065422166584,14.0553703789318,13.5295227523071,23.640849358271,21.796300339139,14.3194456217388,12.7202686315827,18.564879623067,15.5750161292257,14.5171587914164,19.5531988118936,10.6936761020636,16.9777312917137,20.4982262658834,10.9401488893882,12.2359267331069,17.1433655478703,8.91722683515691,15.6062755561981,13.967413217899,17.6739318163089,14.1848259765806,19.0881893395475,18.4679569842953
"TCGA-60-2708-01A",17.2081195411026,12.1238472625938,20.9420194972408,18.1343040827144,18.9765255097169,15.4831727845219,19.4375464781902,15.508759482256,16.6873655074109,17.3776741760725,10.7621777315353,24.5056743906573,23.2183684816045,15.7560540599994,12.8439775839205,20.1889423342036,17.7035906194382,14.2132002787472,19.3747581928588,10.6181312158223,16.661984079492,18.1901837444086,15.8698938275075,12.149114532546,15.0838811494085,8.71080478316683,19.4144705546178,15.1790620568639,15.7135519807285,14.4527990628084,20.3678638506619,15.6621715503906
"TCGA-85-8352-01A",16.9620498993188,14.3171926531331,15.3990138931189,19.8241045766892,12.5251692272867,13.7298630316577,14.9877787750924,17.5098167229517,17.4428052512383,15.1674468112825,9.01735939560233,14.879640400191,20.7169452359166,15.6828432525097,11.8515630053262,12.9930127385154,16.2736593714968,13.2926497151703,16.5756806724123,11.8140990013854,17.679253528941,17.5175273037323,14.3270842560141,13.1539515148524,16.2568892592325,10.5370568323544,16.3107274857285,14.633309670277,19.5863940827505,13.0479293015294,11.5056031223782,17.3195272371326
