"Case_IDs","KRT5","AQP4","S1PR5","NXPH4","TFAP2A","NTRK2","AP001972.5","KRT13","TICRR","TOX3","AC116407.1","GRHL3","WNT3A","SLC2A1","MUC21","SERPINB2","KRT16","B4GALNT4","GJB6","MAP1LC3C","E2F7","RPS29P11","PITX1","GNGT1","CAPN9","FAM83D","GPR87","FGFBP2","LRRN4","DUSP9","GABRA3","AC027288.1"
"TCGA-95-7947-01A",15.9594318575093,18.8783561460301,14.3937048922911,13.576742862298,15.7735642271922,16.9420519531642,20.3712410105458,11.7495604150657,16.1419546652276,16.6102338674327,16.4853690434831,14.289344673432,11.8658069688974,19.3079964798241,20.2209814119059,13.2837130323843,11.3989725759683,10.4848776331156,13.7119274262553,12.6038863370667,15.6783212809037,14.6225652003445,14.3460893308939,9.27423481235235,14.9640111355702,16.9341877787076,15.051134055748,12.738785999668,14.8355217261475,9.69973353954605,16.5986415638296,10.0888785890714
"TCGA-44-2668-11A",16.935255293372,22.1588487113855,13.8520825897337,9.43791163742258,11.8229834826453,15.3706193620263,21.0691825680052,15.2432385773774,13.5133549622076,13.2050309402699,17.984156410502,11.0584234402897,14.8888349339519,16.9666947673824,18.0517622262862,15.1951150127553,11.3572051880643,9.78806381586888,10.3046652116616,16.1005114450742,12.9345742871905,17.5285704144022,10.7454556738428,7.98665184581459,16.3775929157016,14.0642832145262,11.4889815911949,14.9282808135455,17.6535618209988,9.72820843418828,8.72406854455778,14.2491513717668
"TCGA-66-2785-01A",24.1098388695886,16.7096451354225,18.2826314337201,15.7246771953844,18.9377827895632,17.9189533447888,17.5441973829799,14.2083965477501,15.7600291292115,12.1270024103814,15.218673818577,14.6735691233015,5.43346485558136,20.9938165804023,13.5228833366683,18.8048789256541,20.7845952696304,16.219684300432,15.0038036619881,13.4766173929847,14.2847856124679,11.8229834826453,18.6928262770717,14.7141341405769,11.6752778781691,17.983477601617,17.7730068102685,12.5897869361788,12.0252973379814,11.9562222826247,17.3820182036119,8.34385879724162
"TCGA-67-3771-01A",13.2351594066619,16.7764769887295,10.9952723992103,16.0505165441674,15.6956852675217,16.517581715039,20.83843934704,11.8337707130083,14.449807726589,16.8507314719843,13.8787644884798,12.9469830583593,8.89993037982831,20.5031717147278,11.8990485139518,9.15920903188544,11.1132066465118,16.8288125802935,16.9255545646707,11.6558461468985,13.5425202209613,11.3703677671424,7.49393082683455,7.89153025387399,14.9807822190095,17.9756952005935,9.78414137123317,10.1205176598697,11.0334035729214,8.21192505043085,16.4889765307859,9.01194971690526
"TCGA-18-3417-01A",25.5638138994842,15.2473485896964,16.1940705579648,18.4028960953914,17.119103464645,19.5208571225718,16.5452250362942,24.0597308787304,15.1115672868685,11.0106716197844,13.2636516619986,15.7495461544709,13.9447135700276,22.031705315071,10.8838583964251,13.280727483926,21.0253826004866,15.4241664502953,18.2086552754832,13.1267266463612,15.9159539341782,10.9023986651092,13.7695000215682,15.6371871029662,12.7535038958831,18.1367454599729,18.7577891333577,10.2681214139737,9.8270445291673,16.755354926022,16.0896188505575,8.77384676000073
"TCGA-43-5670-01A",25.5085662744271,9.39237415648424,19.9673715597596,17.0475559512795,19.4529183092421,16.6922997392503,15.5082099996534,17.7884148839829,17.6379543909705,9.94598177512678,13.805603662873,16.6298719388498,15.6884242830155,21.1684664984915,13.2145181375595,16.2740951666618,19.2913721848394,16.9399099382424,18.5981836288085,11.164311952557,15.6151561951769,11.3047012717493,17.9118582785565,15.0876559732828,11.6832578471031,18.3435642794776,20.0447867990934,12.3714431554634,10.889046458985,19.0929270469196,17.7720272757857,7.65102092746873
"TCGA-44-5645-01A",13.7888974333629,21.3852180609593,10.9374310657997,12.7017102194687,14.8762593147596,14.3657622198818,20.4503450770002,11.7021804052957,12.7324871178254,17.7897007493611,17.3883504213425,13.0422691141729,10.0565515599326,17.8980393250859,16.7009981647778,11.0836444664017,9.43791163742258,11.2774610898458,12.5025668615771,15.1583663826655,14.2272766639969,19.2533926778583,12.3700695764864,14.1539314675889,14.7625742688922,14.3483113285173,7.58260445918953,10.7171474063345,17.1149150673098,10.9427400751435,9.80795744452857,12.8084669946914
"TCGA-39-5035-01A",24.8600137837533,16.2062811127807,17.0783410557594,20.1131990791405,18.3417457549969,18.4745243914677,17.065422166584,15.1583663826655,15.3717409967179,11.0257464815366,12.8779853691715,14.0553703789318,10.1727072453868,21.796300339139,13.5295227523071,13.5219471135882,23.640849358271,16.9777312917137,18.564879623067,12.7202686315827,15.5750161292257,10.6936761020636,19.5531988118936,15.2920802912707,13.0402052333179,17.5512004056769,20.4982262658834,9.96083687518106,12.2359267331069,10.9401488893882,14.3194456217388,8.91722683515691
"TCGA-60-2708-01A",25.511270337595,14.6714461553567,17.2081195411026,18.9765255097169,18.1343040827144,19.4375464781902,16.6873655074109,20.9420194972408,15.508759482256,15.4831727845219,12.1238472625938,17.3776741760725,14.2327309887705,23.2183684816045,10.7621777315353,12.7846136989411,24.5056743906573,16.661984079492,20.1889423342036,12.8439775839205,17.7035906194382,10.6181312158223,19.3747581928588,15.4979458768732,10.7960086200894,18.028665292176,18.1901837444086,9.54876915501355,12.149114532546,15.8698938275075,15.7560540599994,8.71080478316683
"TCGA-85-8352-01A",17.1218631765962,12.0840775646931,16.9620498993188,12.5251692272867,19.8241045766892,14.9877787750924,17.4428052512383,15.3990138931189,17.5098167229517,13.7298630316577,14.3171926531331,15.1674468112825,12.2404369330265,20.7169452359166,9.01735939560233,7.4309938309868,14.879640400191,17.679253528941,12.9930127385154,11.8515630053262,16.2736593714968,11.8140990013854,16.5756806724123,16.2926039546903,9.38344005805908,18.0555216976816,17.5175273037323,11.4033591794777,13.1539515148524,14.3270842560141,15.6828432525097,10.5370568323544
