Case_IDs,BSN-AS1,RHBG,RP11-524L6.4,CDKN2B,CTD-2066L21.3,CTA-212A2.3,MAGI1-IT1,PSMD4,RP3-324O17.8,EIF4E3,SORBS2,CTD-2154B17.3,RP11-708J19.3,GBAP1,CADPS,SNORA72,ERVFRD-3,DAB2,AC112219.1,NUP210L,ERC2-IT1,INTS6P1,APOL2,MTX1,TPMTP2,CDKN2B-AS1,GBE1,CTD-2154B17.1,RNU4-78P,INTS3,PRIMPOL,MYLKP1,RNU6-1309P,RP1-251I12.1,SUCLG2-AS1,RP11-169K17.2,IZUMO3,APOL6,RP11-216N14.7,DNAH12
TCGA-63-A5MY-01A,-0.6736,0.1501,-0.673,-2.8719,1.1351,0.2034,-0.1102,0.1755,1.3332,-0.1146,-0.6668,1.6828,-0.6736,0.1501,-0.1548,0.175,-2.8719,1.1351,-0.1146,0.1501,-0.6736,1.1351,0.2034,0.1501,-0.6736,-2.8719,-0.1409,1.6828,-0.6736,0.1501,-0.6668,-0.1146,0.1755,1.4917,-0.1102,0.1955,0.6025,0.2034,0.1501,-0.6736
TCGA-75-6205-10A,0.0175,0.0163,0.0151,0.0213,0.0141,0.0191,0.0175,0.0067,0.0168,0.0175,0.0138,0.0181,0.0175,0.0163,0.0175,0.0141,0.0213,0.0141,0.0175,0.0163,0.0175,0.0141,0.0191,0.0163,0.0175,0.0213,0.0175,0.0181,0.0175,0.0163,0.0138,0.0175,0.0067,0.017,0.0175,0.0208,0.0249,0.0191,0.0163,0.0175
TCGA-43-6770-01A,-0.4336,0.0966,-0.3598,-0.4722,0.1197,0.713,-0.4315,0.2175,0.1207,-0.443,-0.4666,0.8286,-0.4336,0.2085,-0.4315,0.0717,-0.4722,0.1197,-0.443,0.2085,-0.4336,0.1197,0.713,0.2085,-0.4453,-0.4722,-0.4593,0.8286,-0.4453,0.2085,-0.4666,-0.443,0.2175,0.8647,-0.4315,-0.4453,-0.4722,0.7275,0.2085,-0.4336
TCGA-85-8071-01A,-0.5438,0.179,-0.5341,-0.5077,0.6195,0.1681,-0.5411,0.1805,0.7096,-0.5411,0.1826,0.6338,-0.5438,0.179,-0.5411,0.1896,-0.5077,0.6195,-0.5411,0.179,-0.5411,0.6195,0.1681,0.179,-0.5438,-0.5077,-0.5116,0.6338,-0.5438,0.179,0.1826,-0.5411,0.1805,0.6338,-0.5411,-0.5376,0.2025,0.2238,0.179,-0.5411
TCGA-73-4677-11A,0.004,0.0045,0.0165,0.0052,0.0142,-0.0014,0.0054,0.0202,-0.0083,0.0054,0.0082,0.0024,0.004,0.0045,0.0054,0.0173,0.0052,0.0142,0.0054,0.0045,0.004,0.0142,-0.1577,0.0045,0.004,0.0052,0.0104,0.0024,0.004,0.0045,0.0082,0.0054,0.0202,0.0256,0.0054,-0.0045,-0.0046,-0.0014,0.0045,0.004
TCGA-38-4628-11A,0.0096,0.0121,0.0208,0.0182,0.0175,-0.0052,0.0096,0.0207,0.0051,0.0281,0.0241,0.0175,0.0096,0.0121,0.0096,0.0222,0.0182,0.0272,0.0281,0.0121,0.0096,0.0272,-0.0052,0.0121,0.0048,0.0182,0.0281,0.0175,0.0048,0.0121,0.0241,0.0281,0.0207,0.0175,0.0096,0.0175,0.0182,-0.0052,0.0121,0.0096
TCGA-66-2780-01A,-0.2755,0.1087,-0.2737,-0.815,0.2281,0.1293,-0.2743,0.1327,0.1839,-0.2737,-0.1888,0.1797,-0.2755,0.1087,-0.2743,0.0892,-0.815,0.2281,-0.2737,0.1087,-0.2755,0.2281,0.1293,0.1087,-0.2755,-0.815,-0.2737,0.1797,-0.2755,0.1087,-0.1888,-0.2737,0.173,0.2483,-0.2743,-0.2619,-0.7729,0.1293,0.1087,-0.2755
TCGA-64-1679-01A,-0.1783,0.1115,-0.2056,-0.6624,0.9461,-0.2125,-0.1864,0.1272,0.0907,-0.0352,-0.2092,0.9325,-0.1752,0.1115,-0.1611,0.2409,-0.6624,0.9461,-0.0352,0.1115,-0.1757,0.9461,-0.2125,0.1115,-0.1752,-0.6624,-0.025,1.3247,-0.1752,0.1115,-0.2092,-0.0352,0.1272,0.948,0.0128,-0.1752,-0.2035,-0.2125,0.1115,-0.1757
TCGA-L9-A443-01A,0.0991,0.5926,-0.0882,0.026,0.149,-0.1204,0.1215,0.6431,-0.1,0.1213,-0.0917,0.149,0.0991,0.5926,0.0951,0.5118,0.026,0.149,0.1213,0.5926,0.0988,0.149,-0.1204,0.5926,0.0991,0.026,0.1396,0.149,0.0991,0.5926,-0.0917,0.1213,0.6431,0.149,0.1215,0.0991,0.026,-0.1204,0.5926,0.0988
TCGA-44-A47A-10A,0.0079,0.001,0.0019,0.0032,0.0023,-0.0067,0.0001,-0.0048,-0.0022,0.0072,0.0011,0.0023,0.0079,0.001,0.0001,0.0023,0.0032,0.0023,0.0072,0.001,0.0001,0.0023,-0.0067,0.001,0.0079,0.0032,-0.0033,0.0023,0.0079,0.001,0.0011,-0.0091,-0.0048,0.0023,0.0001,0.0006,0.0032,-0.0067,0.001,0.0001
TCGA-56-6546-10A,-0.0003,0.0023,-0.0026,-0.0008,-0.0002,0.0077,-0.005,0.044,0.0029,-0.0036,0.0027,0.0024,-0.0003,0.0023,-0.0003,-0.0026,-0.0008,-0.0056,-0.0036,0.0023,-0.0003,-0.0056,0.0077,0.0023,0.1211,-0.0008,-0.0025,0.0024,-0.0003,0.0023,0.0027,-0.0036,0.044,-0.0023,-0.005,0.0048,0.0029,0.0077,0.0023,-0.0003
TCGA-75-5147-10A,0.0197,0.0283,0.0203,0.0258,0.0147,-0.1172,0.0207,-0.0698,0.0145,0.0207,0.0105,0.0353,0.0197,0.0283,0.0207,0.0215,0.0258,0.0147,0.0207,0.0283,0.0197,0.0147,-0.0027,0.0283,0.0197,0.0258,0.0207,0.0353,0.0197,0.0283,-0.0755,0.0207,-0.0698,0.0147,0.0207,0.025,0.0258,-0.1064,0.0283,0.0197
TCGA-O1-A52J-10A,0.0027,-0.0021,-0.0014,0.0005,0.0009,0.0029,0.0027,0.0142,-0.0028,0.0027,0.0109,0.0009,0.0027,-0.0021,0.0027,0.0045,0.0005,0.0009,0.0027,-0.0021,0.0027,0.0009,0.0029,-0.0021,0.0027,0.0005,0.0027,0.0009,0.0027,-0.0021,0.0109,0.0027,0.0142,0.0009,0.0027,0.0027,0.0005,0.0029,-0.0021,0.0027
TCGA-66-2773-11A,0.0059,0.0055,0.0004,0.0188,-0.001,-0.0024,0.0059,0.0092,-0.0015,0.0037,0.018,0.0004,0.0059,0.0055,0.0059,0.0048,0.0188,-0.001,0.0037,0.0055,0.0059,-0.001,-0.0024,0.0055,0.0059,0.0188,0.0037,0.0004,0.0059,0.0055,0.018,0.0037,0.0092,0.0004,0.0059,0.0013,0.001,-0.0024,0.0055,0.0059
TCGA-79-5596-01A,-0.4367,0.1435,-0.4639,-0.4405,0.1512,-0.352,-0.4367,0.1657,0.3576,-0.4659,0.1316,0.1315,-0.4367,0.1435,-0.4367,0.5643,-0.4405,0.1142,-0.4659,0.1435,-0.4367,0.1142,-0.352,0.1435,-0.4367,-0.4405,-0.4659,0.1315,-0.4367,0.1435,0.1316,-0.4659,0.1657,0.1491,-0.4367,-0.4416,-0.4466,-0.352,0.1435,-0.4367
TCGA-91-6835-01A,-0.1072,0.521,-0.0014,-0.1061,-0.0014,0.0225,-0.1072,0.4583,0.103,-0.1072,-0.0093,-0.0014,-0.1072,0.521,-0.1072,0.1762,-0.1061,-0.0014,-0.1072,0.4736,-0.1072,-0.0014,0.0225,0.521,-0.1072,-0.1061,-0.1072,-0.0014,-0.1072,0.4736,-0.0093,-0.1072,0.4583,-0.0014,-0.1072,-0.1072,-0.1088,0.0225,0.4736,-0.1072
TCGA-63-A5MR-01A,-0.203,0.0767,0.0116,-0.1796,0.0082,-0.02,-0.203,0.1007,-0.0007,-0.203,-0.1866,-0.0348,-0.203,0.0767,-0.203,0.0767,-0.1796,0.0082,-0.203,0.0767,-0.203,0.0082,-0.02,0.0767,-0.203,-0.1796,-0.203,-0.0348,-0.203,0.0767,-0.1866,-0.203,0.1007,0.0052,-0.203,-0.203,-0.1796,-0.02,0.0767,-0.203
TCGA-86-8055-10A,0.0038,0.0056,0.0067,0.0088,0.0067,0.0119,-0.0029,0.0056,0.0071,0.0049,0.0128,0.0067,0.0038,0.0056,-0.0029,0.0059,0.0088,0.0067,0.0049,0.0056,0.0038,0.0067,0.0119,0.0056,0.0038,0.0088,0.0049,0.0067,0.0038,0.0056,0.0128,0.0049,0.0056,0.0067,-0.0029,0.0096,0.0088,0.0119,0.0056,0.0038
TCGA-98-A538-01A,-0.2454,0.0772,-0.1883,-0.2011,-0.1913,0.3433,-0.1804,0.1138,0.0705,-0.2091,-0.1734,0.3695,-0.2454,0.0772,-0.1825,0.0843,-0.2011,0.3797,-0.5463,0.0772,-0.1969,0.3797,0.3433,0.0772,-0.2454,-0.2011,0.1459,0.3695,-0.2454,0.0772,-0.1734,-0.5463,0.1138,0.3695,-0.1804,-0.242,-0.1738,0.3433,0.0772,-0.1969
