Case_IDs,BSN-AS1,RHBG,RP11-524L6.4,CDKN2B,CTD-2066L21.3,CTA-212A2.3,MAGI1-IT1,PSMD4,RP3-324O17.8,EIF4E3,SORBS2,CTD-2154B17.3,RP11-708J19.3,GBAP1,CADPS,SNORA72,ERVFRD-3,DAB2,AC112219.1,NUP210L,ERC2-IT1,INTS6P1,APOL2,MTX1,TPMTP2,CDKN2B-AS1,GBE1,CTD-2154B17.1,RNU4-78P,INTS3,PRIMPOL,MYLKP1,RNU6-1309P,RP1-251I12.1,SUCLG2-AS1,RP11-169K17.2,IZUMO3,APOL6,RP11-216N14.7,DNAH12
TCGA-MP-A4T8-10A,0.0075,0.0044,0.0028,0.0145,0.0019,0.0007,0.0048,0.0044,-1.1128,0.0004,0.008,0.0065,0.0075,0.0044,0.0048,0.0081,0.0145,0.0019,0.0004,0.0044,0.0037,0.0019,0.0007,0.0044,0.0075,0.0145,0.0004,0.0065,0.0075,0.0044,0.008,0.0004,0.0044,0.0012,0.0048,0.0075,0.0128,0.0007,0.0044,0.0037
TCGA-55-6642-11A,0.0002,0.0133,0.014,0.0086,0.0147,0.0043,0.0069,0.0124,0.0057,0.0008,0.0146,0.011,0.0002,0.0133,0.0069,0.0089,0.0086,0.0147,0.0008,0.0133,0.0069,0.0147,0.0043,0.0133,0.0002,0.0086,0.0053,0.011,0.0002,0.0133,0.0146,0.0008,0.0124,0.0147,0.0069,0.0002,0.0009,0.0043,0.0133,0.0069
TCGA-56-7223-10A,-0.0121,0.0082,-0.0109,-0.0057,0.0436,0.04,-0.0081,0.0303,0.0256,-0.0081,0.022,0.0375,-0.0121,0.0082,-0.0081,0.0129,-0.0057,0.0436,-0.0081,0.0082,-0.0121,0.0436,0.04,0.0082,-0.0121,-0.0057,-0.0081,0.0375,-0.0121,0.0082,0.022,-0.0081,0.0303,0.0375,-0.0081,-0.0104,-0.0057,0.04,0.0082,-0.0121
TCGA-91-A4BD-01A,0.0239,0.016,0.3604,0.0186,0.36,0.0118,0.0239,0.0296,0.011,0.0239,0.0334,0.3642,0.0239,0.016,0.0239,0.0559,0.0186,0.3638,0.0239,0.016,0.0239,0.3638,0.0118,0.016,0.0235,0.0186,0.0239,0.3642,0.0235,0.016,0.0334,0.0239,0.0296,0.3642,0.0239,0.0296,0.0195,0.0118,0.016,0.0239
TCGA-50-5942-10A,0.0226,0.0195,0.0222,0.0218,0.019,0.0149,0.0226,0.0183,0.0146,0.0196,0.0264,0.0076,0.0226,0.0195,0.0226,0.0179,0.0218,0.019,0.0196,0.0195,0.0226,0.019,0.0149,0.0195,0.0189,0.0218,0.0196,0.0076,0.0189,0.0195,0.0264,0.0196,0.0183,0.0133,0.0226,0.0189,0.0218,0.0149,0.0195,0.0226
TCGA-21-5783-01A,-0.292,0.0304,-0.0354,-0.3688,1.2625,-0.2012,-0.3825,0.0185,0.2081,-0.3949,-0.0683,1.3155,-0.292,0.0304,-0.3825,0.79,-0.3688,1.2788,-0.3949,0.0304,-0.3503,1.2187,-0.2012,0.0304,-0.3937,-0.3688,-0.4076,1.3155,-0.3937,0.0304,0.023,-0.3949,0.0185,1.2934,-0.3825,-0.3494,-0.4093,-0.2012,0.0304,-0.3503
TCGA-49-4488-01A,0.1945,0.66,0.2645,0.5862,0.6548,-0.4087,0.2046,0.5963,0.15,0.2055,-0.0652,0.6297,0.1945,0.66,0.2046,0.327,0.5862,0.6411,0.2055,0.66,0.1945,0.6164,-0.4087,0.66,0.1945,0.5862,0.2055,0.6297,0.1945,0.66,-0.0652,0.2055,0.5963,0.6473,0.2046,0.1926,-0.0932,-0.4087,0.66,0.1945
TCGA-49-AAR3-11A,0.0049,0.009,0.0087,0.0132,0.0055,0.0071,0.0109,0.009,0.0095,0.0077,0.0192,0.0085,0.0049,0.009,0.0109,0.006,0.0132,0.0069,0.0077,0.009,0.0049,0.0069,0.0071,0.009,0.0049,0.0132,0.0077,0.0085,0.0049,0.009,0.0192,0.0077,0.009,0.0085,0.0109,0.0038,0.0132,0.0071,0.009,0.0049
TCGA-50-5044-10A,0.0156,0.016,0.0056,0.0059,0.0071,0.0215,0.0019,0.0374,0.0169,0.0113,0.0072,0.0063,0.0156,0.016,0.0082,0.0128,0.0059,0.0071,0.0113,0.016,0.0156,0.0071,0.0215,0.016,0.0156,0.0059,0.0098,0.0063,0.0156,0.016,0.0072,0.0113,0.0374,0.0063,0.0019,0.012,0.0071,0.0215,0.016,0.0156
TCGA-49-AAR9-01A,-0.3137,0.4206,-0.6133,-0.585,0.4373,-0.6055,0.8256,0.4253,0.3077,0.0462,0.0334,0.4361,-0.3137,0.4206,-0.5666,0.022,-0.585,0.4373,0.0029,0.4206,-0.321,0.4373,-0.6055,0.4206,-0.3127,-0.585,0.0736,0.4361,-0.3127,0.4206,0.0334,0.0387,0.4253,0.4419,0.4568,0.5602,-0.5877,-0.6055,0.4206,-0.321
TCGA-50-5051-01A,0.0797,0.3951,0.2731,0.0181,0.2825,-0.3054,0.0002,0.3843,-0.3059,0.0304,-0.3102,0.2897,0.0797,0.3951,0.0155,0.6318,0.0181,0.2825,0.0304,0.3951,0.0155,0.2825,-0.3054,0.3951,0.0353,0.0181,0.0304,0.2897,0.0353,0.3951,-0.3102,0.0304,0.3843,0.2897,0.0002,0.043,0.046,-0.3054,0.3951,0.0155
TCGA-44-2662-01B,-0.1544,-0.0362,0.0403,-0.0482,0.0155,-0.1443,-0.1538,0.0537,0.0198,-0.0428,-0.0012,-0.2096,-0.0199,0.1628,-0.1797,-0.0903,-0.0482,0.0394,-0.0428,0.0316,-0.1544,0.0394,-0.1443,0.1628,0.0246,-0.0482,-0.0861,-0.2096,0.0246,0.0316,-0.0012,-0.0428,0.0537,-0.1164,-0.1538,-0.0001,-0.1505,-0.1443,0.0316,-0.1544
TCGA-J2-A4AG-01A,-0.0641,0.1275,0.0337,-0.0746,0.0337,-0.2099,-0.0772,0.1306,0.0261,-0.0772,0.0231,0.0337,-0.0641,0.1275,-0.0788,-0.064,-0.0746,0.0337,-0.0772,0.1275,-0.0889,0.0337,-0.2099,0.1275,-0.0799,-0.0746,-0.0772,0.0337,-0.0799,0.1275,0.0231,-0.0772,0.1306,0.0337,-0.0772,-0.0807,-0.0743,-0.2099,0.1275,-0.0889
TCGA-56-A49D-01A,-0.2405,-0.2486,-0.2649,-0.2418,0.2212,0.2338,-0.2743,-0.2171,1.0882,-0.288,-0.2663,0.2199,-0.2405,-0.2486,-0.2625,-0.2481,-0.2418,0.1975,-0.288,-0.2486,-0.272,0.1975,0.2338,-0.2486,-0.259,-0.2418,-0.288,0.2508,-0.259,-0.2486,-0.2663,-0.288,-0.2171,0.244,-0.2743,-0.2608,-0.2288,0.2338,-0.2486,-0.272
TCGA-22-4595-11A,-0.0043,0.0021,0.0102,0.0104,0.0143,-0.002,0.0013,0.0362,0.0009,-0.0008,0.0225,0.0187,-0.0006,0.0021,0.0013,0.0018,0.0104,0.0223,-0.0008,0.0021,-0.0043,0.0223,-0.002,0.0021,-0.0006,0.0104,0.0002,0.0187,-0.0006,0.0021,0.0225,-0.0008,0.0362,0.0143,0.0013,0.0015,0.0104,-0.002,0.0021,-0.0043
TCGA-37-4135-10A,0.0114,0.0069,0.0028,0.007,0.0045,0.0078,0.0122,0.0103,-1.5343,0.0092,0.0171,0.0098,0.0114,0.0069,0.0122,-0.0185,0.007,0.0048,0.0092,0.0069,0.0114,0.0048,-0.1431,0.0069,0.0114,0.007,0.0092,0.0098,0.0114,0.0069,0.0171,0.0092,0.0103,0.0119,0.0122,0.016,0.0356,0.0078,0.0069,0.0114
TCGA-77-A5G8-01B,-0.2827,0.4749,-0.2839,-0.0963,0.7482,-0.0226,-0.2827,0.4639,0.4618,-0.2827,-0.3507,0.5864,-0.2827,0.4749,-0.2827,0.8609,-0.0963,0.7626,-0.2827,0.4749,-0.2827,0.7626,-0.0226,0.4749,-0.2827,-0.0963,-0.2827,0.5864,-0.2827,0.4749,-0.3507,-0.2827,0.4639,0.63,-0.2827,-0.2827,-0.0963,-0.0226,0.4749,-0.2827
TCGA-L9-A443-10A,-0.0024,0.003,-0.0004,0.0016,0.0002,0.0062,-0.0096,-0.0016,0.0014,-0.0047,0.0011,0.0002,-0.0024,0.003,-0.0096,0.001,0.0016,0.0002,-0.0047,0.003,-0.0209,0.0002,0.0062,0.003,-0.0024,0.0016,0.0087,0.0002,-0.0024,0.003,0.0011,-0.0047,-0.0016,0.0002,-0.0096,-0.0048,0.0047,0.0062,0.003,-0.0209
TCGA-39-5011-11A,0.0133,0.0189,0.0252,0.0049,0.0286,0.0131,0.0185,0.0318,0.0178,0.0165,0.0624,0.0319,0.0133,0.0189,0.0185,-0.0366,0.0049,0.0286,0.0165,0.0189,0.0177,0.0286,0.2628,0.0189,0.0133,0.0049,0.0044,0.0319,0.0133,0.0189,0.0624,0.0165,0.0318,0.0385,0.0185,0.0125,0.0222,0.0131,0.0189,0.0177
TCGA-O2-A5IB-10A,0.0017,0.0046,0.0045,0.0078,-0.0016,-0.0028,0.0017,-0.0003,0.002,0.0017,0.0017,-0.0016,0.0017,0.0046,0.0017,-0.0015,0.0078,-0.0016,0.0017,0.0046,0.0017,-0.0016,-0.0028,0.0046,0.0017,0.0078,0.0017,-0.0016,0.0017,0.0046,0.0017,0.0017,-0.0003,-0.0016,0.0017,0.0056,0.001,-0.0028,0.0046,0.0017
TCGA-50-5055-01A,-0.0567,-0.0023,0.0166,-0.097,0.0189,-0.0177,-0.0564,0.0148,0.0343,-0.0528,0.0073,0.0161,-0.0567,-0.0023,-0.0564,-0.0899,-0.097,0.0189,-0.0528,-0.0023,-0.0567,0.0189,-0.0177,-0.0023,-0.0567,-0.097,-0.0679,0.0161,-0.0567,-0.0023,0.0073,-0.0528,0.0148,0.0189,-0.0564,-0.0567,-0.097,-0.0177,-0.0023,-0.0567
TCGA-22-5473-01A,-0.249,0.1017,-0.2605,-1.3912,0.6812,0.1238,-0.2493,0.0671,0.0377,-0.3297,-0.2748,0.6653,-0.249,0.1017,-0.2493,0.072,0.0347,0.4668,-0.3297,0.1017,-0.249,0.4668,0.1238,0.1017,-0.249,-1.3912,-0.344,0.6653,-0.249,0.1017,-0.2748,-0.3439,0.0671,0.6732,-0.3045,-0.2535,0.0341,0.1238,0.1017,-0.249
TCGA-62-A46Y-01A,-0.092,0.0712,0.105,-0.1186,0.3858,-0.2593,-0.0973,0.066,0.042,-0.0973,-0.0978,0.6115,-0.092,0.0712,-0.0973,0.0323,-0.1186,0.3858,-0.0973,0.0712,-0.0973,0.3858,-0.2593,0.0712,-0.092,-0.1186,-0.091,0.6115,-0.092,0.0712,-0.0978,-0.0973,0.066,0.6341,-0.0973,-0.092,-0.1105,-0.2593,0.0712,-0.0973
TCGA-46-3768-01A,-0.4184,0.3825,-0.3966,-1.9525,0.5571,0.0985,-0.3949,0.353,0.3534,-0.3948,-0.3791,0.4916,-0.4184,0.3825,-0.3949,0.3388,-1.9525,0.5571,-0.3948,0.3825,-0.4184,0.5571,0.0985,0.3825,-0.3965,-1.9525,-0.5681,0.4916,-0.3965,0.3825,-0.3791,-0.5681,0.353,0.5028,-0.3949,0.147,-0.4757,0.0985,0.3825,-0.4184
TCGA-78-7542-11A,0.0038,-0.0061,0.0048,0.008,-0.0029,0.0082,0.0038,0.0256,0.0079,0.0032,0.0047,-0.0044,0.0038,-0.0061,0.0038,0.0017,0.008,-0.0008,0.0032,-0.0061,0.0038,-0.0008,0.0082,-0.0061,0.0038,0.008,0.0039,-0.0044,0.0038,-0.0061,0.0047,0.0066,0.0256,-0.0002,0.0038,0.0038,0.0092,0.0082,-0.0061,0.0038
TCGA-34-5929-01A,-0.4105,0.0995,-0.4486,-1.5723,0.6028,0.1837,-0.4105,0.1521,0.1243,-0.4105,-0.4296,0.5878,-0.4105,0.0995,-0.4105,0.2103,-1.5723,0.6028,-0.4105,0.0995,-0.4105,0.6028,0.1837,0.0995,-0.4105,-1.5723,-0.4105,0.5878,-0.4105,0.0995,-0.4296,-0.4105,0.1521,0.6121,-0.4105,-1.7205,-0.4196,0.1837,0.0995,-0.4105
TCGA-6A-AB49-10A,0.0005,0.0036,0.0022,-0.0051,0.0022,-0.0071,0.0005,0.0034,0.0005,0.0005,0.0006,0.0022,0.0005,0.0036,0.0005,0.0096,-0.0051,0.0022,0.0005,0.0036,0.0005,0.0022,-0.0071,0.0036,0.0005,-0.0051,0.0005,0.0022,0.0005,0.0036,0.0006,0.0005,0.0034,0.0022,0.0005,-0.0027,0.0178,-0.0071,0.0036,0.0005
TCGA-55-7907-10A,0.0235,-0.0051,0.016,0.0121,-0.0022,0.0007,0.0235,0.0037,0.0016,0.0235,0.011,-0.0022,0.0235,-0.0051,0.0235,0.0023,0.0121,-0.0022,0.0235,-0.0051,0.0235,-0.0022,0.0007,-0.0051,0.0235,0.0121,0.0172,-0.0022,0.0235,-0.0051,0.011,0.0235,0.0037,-0.0022,0.0235,0.0235,0.012,0.0007,-0.0051,0.0235
TCGA-44-6778-10A,0.0049,-0.0006,0.0005,0.0078,0.0065,0.011,0.0049,0.0063,0.019,0.0049,0.0058,0.0098,0.0049,1.2811,0.0049,-0.0038,0.0078,0.0008,0.0049,0.0109,0.0049,0.0008,0.011,0.0109,0.0067,0.0078,0.0049,0.0098,0.0067,0.0109,0.0058,0.0049,0.0063,0.0098,0.0049,0.0067,0.0078,0.011,0.0109,0.0049
TCGA-55-8096-01A,-0.0815,0.2,-0.0984,-0.0844,0.6263,0.1378,-0.0855,0.2,-0.1436,-0.0798,-0.0929,0.4952,-0.0815,0.2,-0.0855,0.5365,-0.0844,0.6263,-0.0798,0.2,-0.0855,0.6263,0.1378,0.2,-0.0815,-0.0844,-0.0798,0.4952,-0.0815,0.2,-0.0929,-0.0798,0.2,0.4994,-0.8231,-0.0815,-0.0844,0.1378,0.2,-0.0855
TCGA-39-5019-11A,0.0021,0.0006,0.0098,0.0026,0.0036,-0.0001,0.0021,0.0225,-0.0099,-0.0011,0.0304,0.009,0.0021,0.0006,0.0021,0.0049,0.0026,0.0056,-0.0011,0.0006,0.0021,0.0056,-0.0001,0.0006,0.0021,0.0026,0.0081,0.009,0.0021,0.0006,0.0551,-0.0011,0.0225,0.0173,0.0021,0.0021,0.0026,-0.0001,0.0006,0.0021
TCGA-62-8402-10A,0.0051,0.0025,0.0,0.0051,-0.001,0.002,0.0138,0.0069,0.0126,0.001,-0.0024,-0.001,0.0051,0.0025,0.0138,0.0037,0.0051,-0.001,0.001,0.0025,0.0059,-0.001,0.002,0.0025,0.0051,0.0051,0.001,-0.001,0.0051,0.0025,-0.0024,0.001,0.0069,-0.001,0.0138,0.0062,0.0051,0.002,0.0025,0.0059
TCGA-85-A4JC-10A,0.0034,0.0024,0.0043,-0.002,-0.0002,0.0199,0.0033,0.0137,0.0107,0.0033,0.001,0.0058,0.0034,0.0024,0.0033,0.0028,-0.002,-0.0002,0.0033,0.0024,0.0033,-0.0002,0.0199,0.0024,0.0034,-0.002,-0.0005,0.0058,0.0034,0.0024,0.1078,0.0033,0.0137,-0.007,0.0033,0.0034,-0.002,0.0199,0.0024,0.0033
TCGA-49-4490-11A,0.0186,0.0136,0.0245,0.0202,0.0176,0.0012,0.0126,0.0099,0.0069,0.0141,0.0322,0.026,0.0186,0.0136,0.0126,0.0136,0.0202,0.0176,0.0141,0.0136,0.0126,0.0176,0.0012,0.0136,0.0186,0.0202,0.0279,0.026,0.0186,0.0136,0.0322,0.0141,0.0201,0.026,0.0126,0.0186,0.0202,0.0012,0.0136,0.0126
TCGA-49-4506-11A,0.0148,0.0154,0.0177,0.0197,0.0227,0.0122,0.0148,0.0154,0.0115,0.02,0.0232,0.0206,0.0148,0.0154,0.0148,0.0246,0.0197,0.0102,0.02,0.0154,0.0148,0.0102,0.0122,0.0154,0.0148,0.0197,0.02,0.0206,0.0148,0.0154,0.0232,0.02,0.0154,0.0206,0.0148,0.0195,0.0197,0.0122,0.0154,0.0148
TCGA-91-6840-01A,-0.2787,0.0846,-0.2188,-0.1648,0.4023,-0.2796,-0.2065,0.1195,0.5951,-0.2335,-0.2107,0.389,-0.2787,0.0846,-0.2065,0.3913,-0.1648,0.4023,-0.2335,0.0846,-0.2234,0.4023,-0.2796,0.0846,-0.2787,-0.1648,0.147,0.389,-0.2787,0.0846,-0.2036,-0.703,0.1195,0.4023,0.4093,-0.2591,-0.1693,-0.2796,0.0846,-0.2234
TCGA-78-8662-01A,-0.2562,0.689,-0.2285,-0.1923,0.5099,0.127,-0.2424,0.6939,-0.2491,-0.2826,-0.2365,0.4925,-0.2562,0.689,-0.2424,0.1744,-0.1923,0.5099,-0.2826,0.689,-0.2562,0.5099,0.127,0.689,0.1224,-0.1923,-0.2185,0.4925,0.1224,0.689,-0.2365,-0.2108,0.6939,0.4925,-0.2424,0.1308,0.5069,0.127,0.689,-0.2562
TCGA-NC-A5HR-10A,0.0048,0.0043,0.0039,0.0015,0.0039,-0.0053,0.0048,-0.003,-0.024,-0.0006,0.0029,0.0039,0.0048,0.0043,0.0048,0.0059,0.0015,0.0039,-0.0006,0.0043,0.0048,0.0039,-0.0053,0.0043,0.0048,0.0015,-0.0006,0.0039,0.0048,0.0043,0.0029,-0.0006,-0.003,0.0039,0.0048,0.0048,0.0075,-0.0053,0.0043,0.0048
TCGA-98-A53B-01A,-0.2959,-0.0445,-0.2768,-0.9816,0.8168,-0.3374,-0.29,-0.0419,0.3409,-0.2984,-0.2952,0.676,-0.2959,-0.0445,-0.3005,0.4224,-0.9816,0.8918,-0.2984,-0.0445,-0.2959,1.092,-0.3374,-0.0445,-0.2959,-0.9816,-0.2983,0.676,-0.2959,-0.0445,-0.2952,-0.2984,-0.0419,0.7323,-0.29,-0.2959,-0.9816,-0.3374,-0.0445,-0.2959
TCGA-58-8386-10A,0.0066,0.0076,-0.005,-0.0028,-0.005,0.0153,0.0113,0.0151,0.0082,0.0113,0.0218,0.014,0.0066,0.0076,0.0113,0.005,-0.0028,-0.005,-0.0029,0.0076,0.0066,-0.005,0.0153,0.0076,0.0066,-0.0028,-0.0029,0.014,0.0066,0.0076,0.0218,-0.0029,0.0151,-0.005,0.0113,0.005,-0.0028,0.0153,0.0076,0.0066
TCGA-86-A4P7-10A,0.001,0.0027,0.0005,-0.0004,-0.0007,-0.0002,-0.0006,-0.0097,0.0024,-0.0013,-0.0032,-0.0006,0.001,0.0027,-0.003,0.0028,-0.0004,-0.0007,-0.0013,0.0027,-0.003,-0.0007,-0.0002,0.0027,0.001,-0.0004,-0.0013,-0.0006,0.001,0.0027,-0.0032,-0.0013,-0.0097,0.0197,-0.0006,0.0,0.0002,-0.0002,0.0027,-0.003
TCGA-86-8359-01A,-0.2443,0.2201,-0.2742,-0.0111,0.2082,-0.2204,-0.2556,0.5042,0.0051,-0.2586,-0.0024,0.2148,-0.2443,0.2201,-0.2443,-0.0074,-0.0111,0.2082,-0.2586,0.5086,-0.2443,0.2082,-0.2204,0.2201,-0.2443,-0.0111,-0.2586,0.2148,-0.2443,0.5086,-0.0024,-0.2586,0.5042,0.2082,-0.2556,-0.2443,0.0136,-0.2204,0.5086,-0.2443
TCGA-58-8393-01A,-0.1601,0.4285,-0.1487,-0.1431,0.0485,-0.0052,-0.1588,0.4384,0.1678,-0.1625,-0.1419,0.0404,-0.1601,0.4285,-0.1601,-0.1521,-0.1431,0.0461,-0.1625,0.4285,-0.1601,0.0461,-0.0052,0.4285,-0.1601,-0.1431,0.2273,0.0404,-0.1601,0.4285,-0.1887,-0.1625,0.4384,0.0404,-0.1588,-0.1602,-0.1509,-0.0052,0.4285,-0.1601
TCGA-69-7765-10A,0.0024,0.0079,0.0089,0.0087,-0.0004,0.0114,0.0097,0.0079,0.0136,0.0044,0.0222,0.0071,0.0024,0.0079,0.0097,0.0064,0.0087,-0.0004,0.0044,0.0079,0.0097,-0.0004,0.0114,0.0079,0.0093,0.0087,0.0044,0.0071,0.0093,0.0079,0.0222,0.0044,0.0079,0.0077,0.0097,0.0093,0.0079,0.0004,0.0079,0.0097
TCGA-86-A4P8-01A,0.0026,0.0067,0.014,-0.0028,0.0096,-0.0174,0.0026,0.0067,-0.0094,0.0026,0.0038,-0.0036,0.0026,0.0067,0.0026,0.0055,-0.0028,0.0096,0.0026,0.0067,0.0026,0.0096,-0.0174,0.0067,0.0026,-0.0028,0.0026,-0.0036,0.0026,0.0067,0.0084,0.0026,0.0067,-0.0036,0.0026,0.0026,-0.0009,-0.0174,0.0067,0.0026
TCGA-44-7660-01A,0.1739,0.2523,-0.4543,0.2026,0.2736,0.0313,-0.3607,0.2854,0.2584,-0.3607,-0.3624,0.4606,-0.3801,0.2523,-0.3607,0.8358,0.2026,0.9141,-0.3607,0.2523,-0.3607,0.9141,0.0313,0.2523,-0.3713,0.2026,-0.3629,0.4606,-0.3713,0.2523,-0.3624,-0.3629,0.2854,0.4606,-0.3607,-0.3637,-0.3239,0.3366,0.2523,-0.3607
TCGA-44-3919-10A,0.0024,0.0077,0.007,0.0059,0.0033,0.0236,0.0024,0.0269,0.014,0.0024,0.0086,0.0214,0.008,0.0077,0.0024,0.0085,0.0059,0.0033,0.0024,0.0077,0.0024,0.0033,0.0236,0.0077,0.008,0.0059,0.0024,0.0214,0.008,0.0077,0.0086,0.0024,0.0269,0.006,0.0024,0.0039,0.0059,0.0236,0.0077,0.0024
TCGA-78-8640-01A,-0.1311,0.3892,-0.3712,-0.1254,0.6641,-0.1128,-0.134,0.3907,0.0734,-0.134,0.2499,0.4126,-0.1311,0.3892,-0.134,1.8927,-0.1254,0.6641,-0.134,0.3892,-0.1311,0.6641,-0.1128,0.3892,-0.1308,-0.1254,-0.1378,0.4126,-0.1308,0.3892,0.2499,-0.134,0.3907,0.4126,-0.134,-0.1256,-0.1068,-0.1128,0.3892,-0.1311
TCGA-49-6744-11A,0.0181,0.0166,0.0233,0.0202,0.0182,0.0164,0.0206,0.0148,0.0182,0.0195,0.0215,0.0166,0.0181,0.0166,0.033,0.0245,0.0202,0.0182,0.0195,0.0166,0.0181,0.0182,0.0164,0.0166,0.0181,0.0202,0.0195,0.0166,0.0181,0.0166,0.0215,0.0195,0.0148,0.0166,0.0206,0.0181,0.0158,0.0164,0.0166,0.0181
TCGA-95-8039-01A,-0.2242,0.0455,0.0416,-0.5738,0.4239,0.0426,-0.227,0.0516,0.0634,0.0382,0.0351,0.6619,-0.2242,0.0455,-0.227,0.0395,-0.5738,0.2572,0.0382,0.0455,-0.2242,0.2572,0.0426,0.0455,-0.2243,-0.5738,0.0343,0.6619,-0.2243,0.0455,0.0351,0.0382,0.0516,0.544,-0.227,-0.2311,-0.1903,0.0426,0.0455,-0.2242
TCGA-64-5781-01A,-0.2102,0.2859,0.0033,-0.2088,0.3021,-0.1351,-0.2222,0.2855,0.0897,-0.2226,0.065,0.25,-0.2102,0.2859,-0.2222,0.2859,-0.2088,0.3021,-0.2226,0.2859,-0.2222,0.3021,-0.1351,0.2859,-0.2208,-0.2088,-0.2226,0.25,-0.2208,0.2859,0.065,-0.2226,0.2855,0.2665,-0.2222,-0.2208,-0.2088,-0.1351,0.2859,-0.2222
TCGA-85-7844-10A,0.0073,0.0074,0.0054,0.012,0.0109,0.0049,-0.0003,0.0118,0.0067,0.0031,0.0181,0.0049,0.0073,0.0074,0.0073,0.0065,0.012,0.0109,0.0031,0.0074,0.0073,0.0109,0.0049,0.0074,0.0073,0.012,0.0118,0.0049,0.0073,0.0074,0.0241,0.0118,0.0118,0.0049,-0.0003,0.0073,0.012,0.0049,0.0074,0.0073
TCGA-97-A4M2-01A,0.0078,0.0962,0.0153,0.0033,0.0156,0.008,0.0009,0.1334,0.0023,0.0029,0.017,0.0151,0.0078,0.0962,0.0009,0.0169,0.0033,0.0156,0.0029,0.0962,0.0078,0.0156,0.008,0.0962,0.0078,0.0033,0.0029,0.0151,0.0078,0.0962,0.017,0.0029,0.1334,0.0151,0.0009,0.0078,-0.0021,0.008,0.0962,0.0078
TCGA-22-5481-11A,0.0145,0.0174,0.0177,0.0111,0.0154,0.0119,0.013,0.0174,0.0144,0.0122,0.0045,0.0154,0.0145,0.0174,0.013,0.0163,0.0111,0.0154,0.0122,0.0174,0.013,0.0154,0.0119,0.0174,0.0145,0.0111,0.0122,0.0154,0.0145,0.0174,0.0045,0.0122,0.0174,0.0154,0.013,0.0145,0.0134,0.0119,0.0174,0.013
TCGA-99-8033-01A,-0.1786,0.3848,-0.1774,-0.1714,0.2863,0.1461,-0.1786,0.4185,-0.0041,-0.173,-0.1422,0.489,-0.1786,0.3848,-0.1786,0.1457,-0.1714,0.2863,-0.173,0.3848,-0.1786,0.2863,0.1461,0.3848,-0.1786,-0.1714,-0.173,0.489,-0.1786,0.3848,-0.1422,-0.173,0.4185,0.4152,-0.1257,-0.1786,-0.168,0.1461,0.3848,-0.1786
TCGA-78-7150-10A,0.0031,-0.0003,-0.0005,0.0153,0.0,0.0039,0.0031,0.0095,0.0086,0.0031,0.009,0.004,0.0031,-0.0003,0.0031,0.0062,0.0153,0.0,0.0031,-0.0003,0.0031,0.0,0.0039,-0.0003,0.0065,0.0153,0.0031,0.004,0.0065,-0.0003,0.009,0.0031,0.0095,0.004,0.0031,0.0065,0.0153,0.0039,-0.0003,0.0031
TCGA-39-5019-01A,-0.2411,-0.007,-0.2064,-0.8348,0.0694,0.4594,-0.2411,-0.0023,0.1727,-0.2411,-0.2498,0.0599,-0.2411,-0.007,-0.2411,-0.0208,-0.8348,0.0148,-0.2411,-0.007,-0.2411,0.0148,0.4594,-0.007,-0.2411,-0.8348,-0.2509,0.0599,-0.2411,-0.007,-0.2498,-0.2411,-0.0023,0.0599,-0.2411,-0.2411,-0.8348,0.4594,-0.007,-0.2411
TCGA-22-4605-11A,0.0082,-0.001,0.012,0.0041,0.0063,-0.0008,0.0082,0.0072,0.0007,0.0016,0.0071,0.0063,0.0082,-0.001,0.0082,0.0039,0.0041,0.0063,0.0016,-0.001,0.0082,0.0063,-0.0008,-0.001,0.0082,0.0041,0.0029,0.0063,0.0082,-0.001,0.0071,0.0016,0.0072,0.0063,0.0082,0.0036,0.0041,-0.0008,-0.001,0.0082
TCGA-34-A5IX-10A,0.0153,-0.0001,-0.0012,-0.0098,-0.0018,0.4233,0.0063,0.0605,0.0098,-0.0066,0.034,0.0126,0.0153,-0.0001,0.0063,0.0092,-0.0098,-0.0018,-0.0066,-0.0001,0.0056,-0.0018,0.0554,-0.0001,0.1909,-0.0098,-0.0065,0.0126,0.0122,-0.0001,0.034,0.2862,0.0605,-0.0162,0.0063,0.0014,-0.0098,0.3498,-0.0001,0.0056
TCGA-63-5128-10A,0.0076,0.004,-0.0014,0.0003,-0.0014,0.0181,0.0041,0.004,0.0116,0.0025,0.0225,-0.0022,0.0076,0.004,0.0041,0.0022,0.0003,-0.0014,0.0025,0.004,-0.0002,-0.0014,0.0181,0.004,0.1682,0.0003,0.0009,-0.0022,-0.0056,0.004,0.06,0.006,0.004,0.009,0.0041,0.0023,0.0003,0.0181,0.004,-0.0002
TCGA-95-7039-01A,-0.1649,0.2958,0.0782,0.5694,0.8665,-0.7224,-0.2125,0.2995,0.2179,0.1625,0.0911,1.1876,-0.1649,0.2958,-0.1862,-0.2924,0.5694,0.8665,0.1625,0.2958,-0.1862,0.8665,-0.7224,0.2958,-0.1773,0.5694,0.3821,1.1876,-0.1773,0.2958,0.0911,-0.2238,0.2995,1.3332,-0.2125,-0.3166,0.5557,-0.7224,0.2958,-0.1862
