Case_IDs,RNU7-136P,RP11-795A2.2,CCDC39,LINC00969,ARHGEF26,CPN2,CLDN11,IQCJ-SCHIP1,SERPINI1,AADACL2-AS1,ATP13A4,TP63,SOX2-OT,PTX3,C3orf33,UTS2B,RP11-496B10.3,DNAJB11,AGTR1,FRG2FP,PLD1,DHX36,RSRC1,MCCC1,VEZF1P1,RP11-368I23.2,TPRG1,MED12L,AC024560.3,RP11-513G11.3,NLGN1,TM4SF18,PARL,MUC20,TERC,B3GALNT1,RP11-362A9.3,MCF2L2,RP11-197K6.1,RP11-501O2.5
TCGA-MP-A4T8-10A,0.0071,0.0097,0.0097,0.4507,0.0071,0.0097,0.0097,0.0071,0.0097,0.0071,0.0097,0.0097,0.0097,0.0071,0.0071,0.0097,0.0097,0.0097,0.0071,0.0064,0.0097,0.0071,0.0071,0.0097,0.0097,0.0097,0.0097,0.0071,0.0064,0.0097,0.0097,0.0071,0.0097,0.4507,0.0097,0.0071,0.0071,0.0097,0.0097,0.0071
TCGA-55-6642-11A,0.0019,0.0019,0.0019,0.0019,0.0019,0.0019,0.0019,0.0019,0.0019,0.0019,0.0019,0.0019,0.0019,0.0019,0.0019,0.0019,0.0019,0.0019,0.0019,0.0019,0.0019,0.0019,0.0019,0.0019,0.0019,0.0019,0.0019,0.0019,0.0019,0.0019,0.0019,0.0019,0.0019,0.0019,0.0019,0.0019,0.0019,0.0019,0.0019,0.0019
TCGA-56-7223-10A,0.0343,0.0061,0.0595,0.0198,0.0343,0.0198,0.047,0.0343,0.0443,0.0343,0.0198,0.0153,0.0595,0.0343,0.0343,0.0153,0.0595,0.0061,0.0291,0.0198,0.4129,0.0343,0.0343,0.0595,0.0153,0.0443,0.0153,0.0343,0.0198,0.0198,0.053,0.0343,0.0061,0.0198,0.6397,0.0343,0.0343,0.0595,0.0153,0.0291
TCGA-91-A4BD-01A,0.0302,0.0278,0.0328,-2.3168,0.0302,0.0225,0.0328,0.0302,0.0328,0.0302,0.0225,0.0278,0.0328,0.0302,0.0302,0.0278,0.0328,0.0278,0.0302,0.0483,0.0328,0.0302,0.0302,0.0328,0.0278,0.0328,0.0278,0.0302,0.0483,0.0225,0.0328,0.0302,0.0328,0.0483,0.0328,0.0302,0.0302,0.0328,0.0278,0.0302
TCGA-50-5942-10A,0.0199,0.0179,0.0179,0.0113,0.0199,0.0113,0.0179,0.0199,0.0179,0.0199,0.0113,-0.9021,0.0179,0.0199,0.0199,0.0193,0.0179,0.0179,0.0199,0.0113,0.0179,0.0199,0.0199,0.0179,0.0193,0.0179,0.0179,0.0199,0.0113,0.0113,0.0179,0.0199,0.0179,0.0113,0.0179,0.0199,0.0199,0.0179,0.0193,0.0199
TCGA-21-5783-01A,0.2159,0.2575,0.1795,-0.443,0.2159,0.2657,0.2282,0.2159,0.1891,0.2159,0.2657,0.2575,0.1795,0.2159,0.2159,0.2201,0.1795,0.2575,0.2159,0.3059,0.3662,0.2159,0.2159,0.2575,0.2201,0.1891,0.2575,0.2159,-0.9596,0.2657,0.2398,0.2159,0.2575,-0.443,0.2282,0.2159,0.2159,0.2575,0.2201,0.2159
TCGA-49-4488-01A,-0.0082,0.3183,0.3183,-0.0042,-0.0082,0.357,0.327,-0.0082,0.327,-0.0082,0.357,0.3183,0.3183,-0.0082,-0.0082,0.3183,0.3183,0.3183,-0.0082,0.339,0.327,-0.0082,-0.0082,0.3183,0.3183,0.327,0.3183,-0.0082,0.3107,0.357,0.2979,-0.0082,0.3183,0.3107,0.327,-0.0082,-0.0082,0.3183,0.3183,-0.0082
TCGA-49-AAR3-11A,0.0109,0.0101,0.0101,-0.4203,0.0109,0.0125,0.0101,0.0109,0.0101,0.0109,0.0125,0.0101,0.0101,0.0109,0.0109,0.0101,0.0101,0.0101,0.0109,0.0279,0.0101,0.0109,0.0109,0.0101,0.0454,0.0101,0.0101,0.0109,0.0279,0.0125,0.0101,0.0109,0.0101,-0.0065,0.0101,0.0109,0.0109,0.0101,0.0101,0.0109
TCGA-50-5044-10A,0.0064,0.4047,0.0109,0.0177,0.0064,0.0177,0.0117,0.0064,0.0117,0.0064,0.0177,0.0177,0.0109,0.0064,0.0064,0.0177,0.0109,0.0109,0.0064,0.0177,0.0117,0.0064,0.0064,0.0109,0.0177,0.0117,0.0177,0.0064,0.0177,0.0177,0.0117,0.0064,0.0109,0.0177,0.0117,0.0064,0.0064,0.0109,0.0177,0.0064
TCGA-49-AAR9-01A,0.4644,0.4516,0.4516,0.456,0.4592,0.456,0.4587,0.4644,0.4566,0.4592,0.456,0.4542,0.4516,0.4644,0.4435,0.4542,0.4516,0.4516,0.4592,0.0197,0.4593,0.4592,0.4644,0.4516,0.4542,0.4566,0.4542,0.4592,0.4619,0.456,0.4974,0.4592,0.4516,1.002,0.4587,0.4644,0.4592,0.4516,0.4542,0.4592
TCGA-50-5051-01A,0.0278,0.0322,0.0322,0.5713,0.0278,0.0322,0.0322,0.0278,0.0322,0.0278,0.0322,0.0322,0.0322,0.0278,0.0278,0.0322,0.0322,0.0322,0.0278,0.0516,0.0322,0.0278,0.0278,0.0322,0.0322,0.0322,0.0322,0.0278,0.0516,0.0322,0.0322,0.0278,0.0322,0.0516,0.0322,0.0278,0.0278,0.0322,0.0322,0.0278
TCGA-44-2662-01B,0.0834,0.0563,0.0563,0.148,-0.0007,0.0254,0.0696,0.0834,0.0696,0.1834,0.0254,0.0706,0.0563,-0.0007,-0.0007,0.0706,0.0563,0.0563,0.105,0.148,0.0536,-0.0007,-0.0007,0.0563,1.5203,0.0696,-5.6885,0.105,0.148,0.0254,0.0536,0.105,0.0563,0.148,0.0696,0.0834,0.1834,0.0563,0.0706,0.0584
TCGA-J2-A4AG-01A,-0.064,-0.0748,-0.0748,0.6756,-0.0801,-0.0748,-0.0748,-0.064,-0.0748,-0.0801,-0.0748,-0.0748,-0.0748,-0.0801,-0.0801,-0.0748,-0.0748,-0.0748,-0.0801,-0.0973,-0.0748,-0.0801,-0.0801,-0.0748,-0.0748,-0.0748,-0.0748,-0.0801,-0.0973,-0.0748,-0.0748,-0.0801,-0.0748,-0.0748,-0.0748,-0.064,-0.0801,-0.0748,-0.0748,-0.0801
TCGA-56-A49D-01A,0.5861,0.5799,0.5799,0.139,0.5901,0.6074,0.6073,0.5861,0.6073,0.5901,0.6074,0.6131,0.5799,0.5861,0.5861,0.6131,0.5799,0.5799,0.5901,0.617,0.6073,0.5901,0.5861,0.5799,0.6131,0.6073,0.6284,0.5901,0.617,0.6074,0.6073,0.5901,0.5799,0.139,0.6073,0.5861,0.5901,0.5799,0.6131,0.5901
TCGA-22-4595-11A,0.0066,0.008,0.008,0.0266,0.0066,0.0266,0.0102,0.0066,0.0055,0.0066,0.0266,0.008,0.008,0.0066,0.0066,0.008,0.008,0.008,0.0066,0.0266,0.0102,0.0066,0.0066,0.008,0.008,0.0055,0.008,0.0066,0.0266,0.0266,0.0102,0.0066,0.008,0.0266,0.0102,0.0066,0.0066,0.008,0.008,0.0066
TCGA-37-4135-10A,0.0112,0.0177,0.0177,-0.351,0.0112,-0.0023,0.0177,0.0112,0.0177,0.0112,-0.0023,0.0177,0.0177,0.0112,0.0112,0.0177,0.0177,0.0177,0.0112,0.0658,0.0177,0.0112,0.0112,0.0177,0.0177,0.0177,0.0177,0.0112,0.0658,-0.0023,0.0177,0.0112,0.0177,-0.351,0.0177,0.0112,0.0112,0.0177,0.0177,0.0112
TCGA-77-A5G8-01B,0.7087,0.861,0.8612,0.2836,0.7087,0.7202,0.8609,0.7087,0.8609,0.7087,0.7202,0.7717,0.8612,0.7087,0.7087,0.7717,0.8612,0.8612,0.6607,0.3351,0.8609,0.7087,0.7087,0.8612,0.6152,0.8609,0.6684,0.7087,0.7427,0.7202,0.8609,0.6607,0.8612,0.2836,0.8609,0.7087,0.7087,0.8612,0.7717,0.6607
TCGA-L9-A443-10A,0.0031,0.0005,0.0005,0.3627,0.0031,-0.0102,0.0005,0.0031,0.0005,0.0031,-0.0102,0.0005,0.0005,0.0031,0.0031,0.0108,0.0005,0.0005,0.0031,0.0061,0.0005,0.0031,0.0031,0.0005,0.0108,0.0005,0.0005,0.0031,0.0061,-0.0102,0.0005,0.0031,0.0005,0.3627,0.0005,0.0031,0.0031,0.0005,0.0108,0.0031
TCGA-39-5011-11A,0.0197,0.021,0.021,0.021,0.0159,0.021,0.0304,0.0197,-0.0179,0.0159,0.021,0.021,0.021,0.0197,0.0197,0.021,0.021,0.021,0.0159,0.1032,0.0304,0.0159,0.0197,0.021,0.021,0.0381,0.021,0.0159,0.1032,0.021,0.0304,0.0159,0.021,0.021,0.0304,0.0197,0.0159,0.021,0.021,0.0159
TCGA-O2-A5IB-10A,0.0006,0.0086,0.0086,0.0063,0.0006,0.0063,-1.5264,0.0006,0.0105,0.0021,0.0063,0.0086,0.0086,0.0006,0.0006,0.0086,0.0086,0.0086,0.0021,0.0063,0.0061,0.0006,0.0006,0.0086,0.0086,0.0105,0.0086,0.0021,0.0063,0.0063,0.0061,0.0021,0.0086,0.0063,0.0105,0.0006,0.0021,0.0086,0.0086,0.0021
TCGA-50-5055-01A,0.2272,-0.0016,-0.0016,0.3915,-0.0776,0.0097,0.4982,-0.0776,0.3167,-0.0874,0.0097,-0.0016,-0.0016,-0.0776,-0.0776,-0.0016,-0.0016,-0.0016,-0.0874,0.0333,0.3976,-0.0776,-0.0776,-0.0016,-0.0016,0.4982,-0.0016,-0.0874,0.0333,0.0097,-0.0016,-0.0874,-0.0016,0.3915,0.4982,0.2272,-0.0874,-0.0016,-0.0016,-0.0874
TCGA-22-5473-01A,-0.0134,1.0003,1.0576,1.0574,0.0207,1.0574,1.064,-0.0134,1.0719,0.0207,1.0574,1.0737,1.0576,-0.0134,-0.0134,0.9771,1.0576,1.0003,0.0053,0.669,1.064,0.0207,-0.0134,1.0576,1.0152,1.0719,1.0737,0.0207,1.0843,1.0574,1.064,0.4945,1.0576,1.8086,1.064,-0.0134,0.0207,1.0576,0.9771,0.0053
TCGA-62-A46Y-01A,-0.092,-0.091,-0.091,0.7063,-0.092,-0.091,-0.091,-0.092,-0.0886,-0.092,-0.091,-0.091,-0.091,-0.092,-0.092,-0.091,-0.091,-0.091,-0.092,0.0749,-0.091,-0.092,-0.092,-0.091,-0.091,-0.0886,-0.091,-0.092,-0.094,-0.091,-0.091,-0.092,-0.091,-0.0885,-0.091,-0.092,-0.092,-0.091,-0.091,-0.092
TCGA-46-3768-01A,0.7104,1.458,1.458,0.9753,0.7104,0.9753,1.4134,0.7104,1.4134,0.7104,0.9753,1.458,1.458,0.7104,0.7104,1.458,1.458,1.458,0.7104,0.0129,1.4134,0.7104,0.7104,1.458,1.0246,1.4134,1.458,0.7104,0.9753,0.9753,1.458,0.7104,1.458,0.9753,1.4134,0.7104,0.7104,1.458,1.458,0.7104
TCGA-78-7542-11A,0.0032,0.0055,0.0055,0.7093,0.0032,0.0063,0.0055,0.0032,0.0055,-1.0683,0.0063,0.0063,0.0055,0.0032,0.0032,0.0063,0.0055,0.0055,0.0024,0.0249,0.0055,0.0032,0.0032,0.0055,0.0063,0.0055,0.0063,0.0024,0.0249,0.0063,0.0055,0.0024,0.0055,0.0063,0.0055,0.0032,0.0032,0.0055,0.0063,0.0024
TCGA-34-5929-01A,0.8398,0.7886,0.8603,0.8052,0.8398,0.8052,0.8603,0.8398,0.8603,0.8398,0.8052,0.8631,0.8603,0.8398,0.8398,0.8631,0.8603,0.7886,0.8398,0.8052,0.8603,0.8398,0.8398,0.7886,0.8631,0.8603,0.8631,0.8398,0.8052,0.8052,0.8603,0.8398,0.7886,0.8052,0.8603,0.8398,0.8398,0.7886,0.8631,0.8398
TCGA-6A-AB49-10A,0.001,0.0084,0.0084,0.0038,0.0033,0.0038,0.0084,0.001,0.0084,0.0033,0.0038,0.0084,0.0084,-0.0046,0.0033,0.0084,0.0084,0.0084,0.0033,-0.0282,0.0084,0.0033,-0.0046,0.0084,0.0084,0.0084,0.0084,0.0033,-0.0282,0.0038,0.0084,0.0033,0.0084,0.5897,0.0084,0.001,0.0033,0.0084,0.0084,0.0033
TCGA-55-7907-10A,-0.0024,-0.0111,-0.0111,-0.3818,-0.0024,-0.001,-0.0029,-0.0024,-0.0014,-0.0024,-0.001,-0.0111,-0.0111,-0.0024,-0.0024,-0.0111,-0.0111,-0.0111,-0.0024,0.0118,-0.0029,-0.0024,-0.0024,-0.0111,-0.001,-0.0014,-0.0111,-0.0024,0.0118,-0.001,-0.0029,-0.0024,-0.0111,-0.0117,-0.0029,-0.0024,-0.0024,-0.0111,-0.0111,-0.0024
TCGA-44-6778-10A,0.0054,0.0054,0.0054,0.0091,0.0054,0.0091,0.0054,0.0054,0.0054,0.0054,0.0091,0.0054,0.0054,0.0054,0.0054,0.0054,0.0054,0.0054,0.0054,0.0091,0.0054,0.0054,0.0054,0.0054,0.0054,0.0054,0.0054,0.0054,0.0091,0.0091,0.0054,0.0054,0.0054,0.0091,0.0054,0.0054,0.0054,0.0054,0.0054,0.0054
TCGA-55-8096-01A,-0.0722,-0.0792,-0.0792,-0.9667,-0.0722,-0.1051,-0.0825,-0.0722,-0.0825,-0.0722,-0.1051,-0.0844,-0.0792,-0.0722,-0.0722,-0.0906,-0.0792,-0.0792,-0.0722,-0.1042,-0.0825,-0.0722,-0.0722,-0.0792,-0.0906,-0.0825,-0.0844,-0.0722,-0.1042,-0.1051,0.3909,-0.0722,-0.0792,-0.1042,-0.0825,-0.0722,-0.0722,-0.0792,-0.0906,-0.0722
TCGA-39-5019-11A,0.015,0.365,0.0117,0.0456,0.015,0.0161,0.0117,0.015,0.0117,0.015,0.0161,0.0002,0.0117,0.015,0.015,0.0002,0.0117,0.0117,0.015,0.3954,0.0117,0.015,0.015,0.0117,0.0002,0.0117,0.0002,0.015,0.0456,0.0161,0.0117,0.015,0.0117,0.0456,0.0117,0.015,0.015,0.0117,0.0002,0.015
TCGA-62-8402-10A,0.0031,-0.0024,-0.0024,0.0003,0.0031,0.0003,-0.0024,0.0031,-0.0024,0.0019,0.0003,-0.0024,-0.0024,0.0031,0.0031,-0.0024,-0.0024,-0.0024,0.0019,0.0003,-0.0024,0.0031,0.0031,-0.0024,-0.0024,-0.0024,-0.0024,0.0019,0.0003,0.0003,-0.0024,0.0019,-0.0024,0.0003,-0.0024,0.0031,0.0031,-0.0024,-0.0024,0.0019
TCGA-85-A4JC-10A,0.0009,-0.0005,-0.0032,0.6543,0.0009,-0.0051,-0.0032,0.0009,-0.0032,0.0009,-0.0051,-0.0005,-0.0032,0.0009,0.0009,-0.0005,-0.0032,-0.0005,-0.0112,0.0533,-0.0032,0.0009,0.0009,-0.0032,0.4177,-0.0032,-0.0005,0.0009,0.0533,-0.0051,-0.0032,-0.0112,0.1099,0.026,-0.0032,0.0009,0.0009,-0.0032,-0.0005,-0.0112
TCGA-49-4490-11A,0.0219,0.0227,0.0227,0.0326,0.0219,0.0326,0.0343,0.0219,0.0343,0.0219,0.0326,0.0227,0.0227,0.0219,0.0219,0.0227,0.0227,0.0227,0.0219,0.0326,0.0343,0.0219,0.0219,0.0227,0.0227,0.0343,0.0227,0.0219,0.0326,0.0326,0.0343,0.0219,0.0227,0.0326,0.0343,0.0219,0.0219,0.0227,0.0227,0.0219
TCGA-49-4506-11A,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02
TCGA-91-6840-01A,0.464,0.4666,0.4666,0.4165,0.464,0.4622,0.4666,0.464,0.4808,-0.1107,0.4622,0.4666,0.4666,0.464,0.464,0.4666,0.4666,0.4666,0.2224,0.6583,0.4666,0.464,0.464,0.4666,0.4666,0.4666,0.4666,0.2207,0.6583,0.4622,0.4666,0.2207,0.4666,-0.1425,0.4666,0.464,-0.1107,0.4666,0.4666,0.2224
TCGA-78-8662-01A,-0.2371,0.4984,0.4984,0.1706,-0.2371,0.1654,0.7615,-0.2371,0.9926,-0.2371,0.1654,0.4984,0.4984,-0.2371,-0.2371,0.4984,0.4984,0.4984,-0.2371,0.7203,0.7615,-0.2371,-0.2371,0.4984,0.2149,0.9926,0.4984,-0.2371,0.7203,0.1654,0.5386,-0.2371,0.4984,0.5729,0.9536,-0.2371,-0.2371,0.4984,0.4984,-0.2371
TCGA-NC-A5HR-10A,0.0062,0.0078,0.0078,0.0067,0.0045,0.0067,0.0078,1.1374,0.0078,0.0045,0.0067,0.0078,0.0078,0.0045,0.0045,0.0078,0.0078,0.0078,0.0045,0.0067,0.0078,0.0045,0.0045,0.0078,0.0078,0.0078,0.0078,0.0045,0.0067,0.0067,0.0078,0.0045,0.0078,0.0067,0.0078,0.0062,0.0045,0.0078,0.0078,0.0045
TCGA-98-A53B-01A,0.3633,0.5567,0.5884,0.3959,0.3633,0.3959,0.7557,0.3633,0.6831,0.4213,0.3959,0.4393,0.5884,0.3633,0.3633,0.5609,0.5884,0.5567,0.4213,0.6813,0.7557,0.3633,0.3633,0.5884,0.361,0.7857,0.417,0.4213,0.7841,0.3959,0.4224,0.4213,0.5884,0.3959,0.7557,0.3633,0.4213,0.5884,0.5609,0.4213
TCGA-58-8386-10A,0.0057,-0.0008,-0.0008,0.3514,0.0057,0.0094,-0.009,0.0057,-0.009,0.0057,0.0094,-0.0008,-0.0008,0.0057,0.0057,-0.0008,-0.0008,-0.0008,0.0057,0.0152,-0.009,0.0057,0.0057,-0.0008,0.0196,-0.009,-0.0008,0.0057,0.0152,0.0094,-0.009,0.0057,-0.0008,0.3514,-0.009,0.0057,0.0057,-0.0008,-0.0008,0.0057
TCGA-86-A4P7-10A,0.0007,0.0018,0.0018,0.4753,0.0007,0.0063,0.0018,0.0007,0.0018,0.0007,-0.7468,0.0018,0.0018,0.0007,0.0007,0.0068,0.0018,0.0018,0.0007,-0.0107,0.0018,0.0007,0.0007,0.0018,0.0068,0.0018,0.0018,0.0007,-0.0107,0.0063,0.0018,0.0007,0.0018,0.4753,0.0018,0.0007,0.0007,0.0018,0.0068,0.0007
TCGA-86-8359-01A,-0.0074,-0.0074,-0.0074,-0.0362,-0.0074,0.0033,-0.0074,-0.0074,-0.0074,-0.0074,0.0033,-0.0074,-0.0074,-0.0074,-0.0074,-0.0074,-0.0074,-0.0074,-0.0317,-0.0362,-0.0074,-0.0074,-0.0074,-0.0074,-0.0074,-0.0074,-0.0074,-0.0074,-0.0362,0.0033,-0.0074,-0.0074,-0.0074,-0.0362,-0.0074,-0.0074,-0.0074,-0.0074,-0.0074,-0.0317
TCGA-58-8393-01A,0.5048,0.4827,0.5075,-0.565,0.5048,0.4825,0.5075,0.5048,0.5199,0.5048,0.4825,0.5008,0.5075,0.5048,0.5048,0.5008,0.5075,0.4827,0.5048,0.4512,0.5075,0.5048,0.5048,0.5075,0.4666,0.5199,0.5008,0.5048,0.4512,0.4825,0.5075,0.5048,0.5075,0.4512,0.5075,0.5048,0.5048,0.5075,0.5008,0.5048
TCGA-69-7765-10A,0.0097,0.0061,0.0061,-0.4922,0.0097,0.0033,0.0061,0.0097,0.0061,0.0097,0.0033,0.0033,0.0061,0.0097,0.0097,0.0033,0.0061,0.0061,0.0097,0.006,0.0061,0.0097,0.0097,0.0061,0.0033,0.0061,0.0061,0.0097,0.006,0.0033,0.0061,0.0097,0.0061,-0.4922,0.0061,0.0097,0.0097,0.0061,0.0033,0.0097
TCGA-86-A4P8-01A,0.0043,0.0054,0.0054,-0.0003,0.0043,-0.0003,0.004,0.0043,0.004,0.0043,-0.0003,0.0054,0.0054,0.0043,0.0043,0.0054,0.0054,0.0054,0.0043,-0.0003,0.004,0.0043,0.0043,0.0054,0.0054,0.004,0.0054,0.0043,-0.0003,-0.0003,0.004,0.0043,0.0054,-0.0003,0.004,0.0043,0.0043,0.0054,0.0054,0.0043
TCGA-44-7660-01A,0.5843,0.8358,0.8358,0.8307,0.5297,0.8307,0.8358,0.5843,0.8358,0.5297,0.8307,0.9622,0.8358,0.7958,0.8179,0.8307,0.8358,0.8358,0.5297,0.8307,0.8358,0.5297,0.5843,0.8358,0.8307,0.8358,0.8358,0.5297,0.8307,0.8307,0.8358,0.5297,0.8358,0.8307,0.8358,0.7067,0.5297,0.8358,0.8307,0.5297
TCGA-44-3919-10A,0.0032,0.0136,-0.0003,0.0409,0.0032,0.0409,-0.0003,0.0032,-0.0003,0.0032,0.0409,0.0136,-0.0003,0.0032,0.0032,0.0136,-0.0003,0.0136,0.0067,0.0573,-0.0003,0.0032,0.0032,-0.0003,0.0136,-0.0003,0.0136,0.0032,0.0573,0.0409,-0.0003,0.0032,0.1371,0.0409,-0.0003,0.0032,0.0032,-0.0003,0.0136,0.0067
TCGA-78-8640-01A,-0.1226,0.0811,0.0811,0.0784,-0.1226,0.0784,0.0871,-0.1226,0.0871,-0.1226,0.0784,0.0811,0.0811,-0.1226,-0.1226,0.08,0.0811,0.0811,-0.1226,0.0784,0.0871,-0.1226,-0.1226,0.0811,0.0838,0.0871,0.0811,-0.1226,0.0784,0.0784,0.0587,-0.1226,0.0811,0.0784,0.0871,-0.1226,-0.1226,0.0811,0.08,-0.1226
TCGA-49-6744-11A,0.0245,0.0256,0.0256,0.6178,0.0245,0.0157,0.0256,0.0245,0.0256,0.0245,0.0157,0.0158,0.0256,0.0245,0.0245,0.0158,0.0256,0.0256,0.0245,0.0144,0.0256,0.0245,0.0245,0.0256,0.0158,0.0256,0.0256,0.0245,0.0144,0.0157,0.0256,0.0245,0.0256,0.6178,0.0256,0.0245,0.0245,0.0256,0.0158,0.0245
TCGA-95-8039-01A,0.0502,0.0395,0.0395,0.0311,0.0502,0.0311,0.0395,0.0502,0.0395,0.0502,0.0311,0.0395,0.0395,0.0502,0.0502,0.0395,0.0395,0.0395,0.0461,0.0311,0.0395,0.0502,0.0502,0.0395,0.0395,0.0395,0.0395,0.0502,0.0311,0.0311,0.0395,0.0461,0.0395,0.0311,0.0395,0.0502,0.0502,0.0395,0.0395,0.0461
TCGA-64-5781-01A,0.3732,0.3745,0.3745,0.3622,0.3732,0.3622,0.3745,0.3732,0.3734,0.3732,0.3622,0.3745,0.3745,0.3732,0.3732,0.3745,0.3745,0.3745,0.3732,0.3622,0.3745,0.3732,0.3732,0.3745,0.3745,0.3745,0.3745,0.3732,0.3622,0.3622,0.3745,0.3732,0.3745,0.3622,0.3745,0.3732,0.3732,0.3745,0.3745,0.3732
TCGA-85-7844-10A,0.0115,0.0112,0.0112,0.0135,0.0115,0.0135,0.0112,0.0115,0.0112,0.0115,0.0135,0.019,0.0112,0.0115,0.0115,0.019,0.0112,0.0112,0.0115,0.0135,0.0112,0.0115,0.0115,0.0112,0.019,0.0112,0.019,0.0115,0.0135,0.0135,0.0112,0.0115,0.0112,0.0135,0.0112,0.0115,0.0115,0.0112,0.019,0.0115
TCGA-97-A4M2-01A,0.0169,0.0213,0.0213,0.0208,0.0169,0.0208,0.0213,0.0169,0.0213,0.0169,0.0208,0.0208,0.0213,0.0169,0.0169,0.0208,0.0213,0.0213,0.0169,0.0208,0.0213,0.0169,0.0169,0.0213,0.0208,0.0213,0.0213,0.0169,0.0208,0.0208,0.0213,0.0169,0.0213,0.0208,0.0213,0.0169,0.0169,0.0213,0.0208,0.0169
TCGA-22-5481-11A,0.0163,0.0168,0.0168,0.0225,0.0163,0.012,0.0112,0.0163,0.0059,0.0163,0.012,0.0189,0.0168,0.0163,0.0163,0.012,0.0168,0.0168,0.0163,0.0225,0.0112,0.0163,0.0163,0.0168,0.012,0.0059,0.0189,0.0163,0.0225,0.012,0.0112,0.0163,0.0168,0.0225,0.0112,0.0163,0.0163,0.0168,0.012,0.0163
TCGA-99-8033-01A,0.0047,0.0101,0.0101,-0.0105,0.0047,-0.0105,0.0101,0.0047,0.0101,0.0047,-0.0105,0.0101,0.0101,0.0047,0.0047,-0.0105,0.0101,0.0101,0.0047,-0.0105,0.0101,0.0047,0.0047,0.0101,-0.0105,0.0101,0.0101,0.0047,-0.0105,-0.0105,0.0101,0.0047,0.0101,-0.0105,0.0101,0.0047,0.0047,0.0101,-0.0105,0.0047
TCGA-78-7150-10A,0.0113,0.0094,0.0094,0.0093,0.0113,0.0093,0.0094,0.0113,0.0094,0.0113,0.0093,0.0094,0.0094,0.0113,0.0113,0.0094,0.0094,0.0094,0.0113,0.0093,0.0094,0.0113,0.0113,0.0094,0.0094,0.0094,0.0094,0.0113,0.0093,0.0093,0.0094,0.0113,0.0094,0.0093,0.0094,0.0113,0.0113,0.0094,0.0094,0.0113
TCGA-39-5019-01A,0.2923,1.3849,1.7615,0.203,1.0705,0.2147,1.5788,0.9781,1.3806,1.0834,0.2147,1.2455,1.7615,0.8777,0.46,1.4251,0.3396,1.3849,0.4908,0.0826,1.5788,1.0705,1.0013,1.3602,0.2086,1.5788,1.0226,1.4446,0.636,0.2147,0.3478,1.0832,1.0827,0.203,1.5788,0.2923,1.0834,1.3602,0.2568,0.4908
TCGA-22-4605-11A,0.004,0.0059,0.0059,0.0048,0.004,0.0048,0.0059,0.004,0.0059,0.004,0.0048,0.0059,0.0059,0.004,0.004,0.0059,0.0059,0.0059,0.004,0.0048,0.0059,0.004,0.004,0.0059,0.0059,0.0059,0.0059,0.004,0.0048,0.0048,0.0059,0.004,0.0059,0.0048,0.0059,0.004,0.004,0.0059,0.0059,0.004
TCGA-34-A5IX-10A,-0.0043,0.0003,-0.0059,0.0189,-0.0037,0.0189,-0.014,-0.0043,-0.014,-0.0037,0.0189,-0.0171,-0.0059,-0.0043,-0.0043,-0.0171,-0.0059,0.0003,-0.0031,0.0654,-0.014,-0.0037,-0.0043,-0.0059,-0.0172,-0.014,0.0003,-0.0037,0.0654,0.0189,-0.014,-0.0031,0.1218,0.4394,-0.014,-0.0043,-0.0037,-0.0059,-0.0171,-0.0031
TCGA-63-5128-10A,0.0044,0.0022,0.0022,0.0022,0.0044,0.0022,0.0022,0.0044,0.0022,0.0044,0.0022,0.0022,0.0022,0.0044,0.0044,0.0022,0.0022,0.0022,0.0044,0.0022,0.0022,0.0044,0.0044,0.0022,0.0022,0.0022,0.0022,0.0044,0.0022,0.0022,0.0022,0.0044,0.0022,0.0022,0.0022,0.0044,0.0044,0.0022,0.0022,0.0044
TCGA-95-7039-01A,-0.2359,-0.2512,-0.0884,-0.2104,0.1201,-0.2602,0.9001,-0.2517,-0.1178,0.1201,-0.2602,-0.2437,-0.278,0.3984,0.3984,0.0968,-0.0884,-0.2512,-0.2466,0.3882,-0.1975,0.1201,-0.165,-0.2512,-0.2645,-0.1178,-0.2437,0.1201,0.1496,-0.2602,-0.2567,-0.2466,-0.2512,-0.2104,0.9001,0.3588,0.1201,-0.2512,0.0968,-0.2965
TCGA-MP-A4T4-10A,0.0028,0.0054,0.0054,0.005,0.0028,0.005,0.0054,0.0028,0.0054,0.0028,0.005,0.0054,0.0054,0.0028,0.0028,0.0054,0.0054,0.0054,0.0028,0.0192,0.0054,0.0028,0.0028,0.0054,0.0054,0.0054,0.0054,0.0028,0.0192,0.005,0.0054,0.0028,0.0054,0.005,0.0054,0.0028,0.0028,0.0054,0.0054,0.0028
TCGA-NC-A5HQ-10A,0.0059,0.0329,0.0139,0.0622,0.0059,0.0195,0.0095,0.0059,0.0095,0.0059,0.0195,0.0329,0.0139,0.0059,0.0059,0.0329,0.0139,0.0329,0.0059,-0.1127,0.1892,0.0059,0.0059,0.0139,0.0329,0.0095,0.0329,0.0059,0.0667,0.0195,0.0139,0.0059,0.2002,0.0622,0.0095,0.0059,0.0059,0.2002,0.0329,0.0059
