Case_IDs,RNU7-136P,RP11-795A2.2,CCDC39,LINC00969,ARHGEF26,CPN2,CLDN11,IQCJ-SCHIP1,SERPINI1,AADACL2-AS1,ATP13A4,TP63,SOX2-OT,PTX3,C3orf33,UTS2B,RP11-496B10.3,DNAJB11,AGTR1,FRG2FP,PLD1,DHX36,RSRC1,MCCC1,VEZF1P1,RP11-368I23.2,TPRG1,MED12L,AC024560.3,RP11-513G11.3,NLGN1,TM4SF18,PARL,MUC20,TERC,B3GALNT1,RP11-362A9.3,MCF2L2,RP11-197K6.1,RP11-501O2.5
TCGA-18-3409-01A,0.3133,0.3281,0.3234,0.0904,0.3133,0.3386,0.2984,0.3133,0.2984,0.3133,0.3386,0.3281,0.3234,0.3133,0.3133,0.3281,0.3234,0.3281,0.3133,0.3421,0.2984,0.3133,0.3133,0.3234,0.3281,0.2984,0.3281,0.3133,0.3421,0.3386,0.3037,0.3133,0.3234,0.0904,0.2984,0.3133,0.3133,0.3234,0.3281,0.3133
TCGA-21-1070-01A,0.2913,-0.0198,0.865,-0.0195,0.3146,-0.0195,1.4136,0.2913,1.2263,0.3146,-0.0195,-0.0339,0.865,0.3146,0.3146,-0.0339,0.865,-0.0198,0.5991,-0.0195,0.8459,0.3146,0.2913,2.5085,-0.0339,1.2263,-0.0339,0.3146,-0.0195,-0.0195,0.8459,0.5991,2.9949,-0.0195,1.4136,0.2913,0.3146,2.5085,-0.0339,0.5991
TCGA-55-1595-01A,-0.0802,0.1715,0.1715,0.1763,-0.0802,0.1709,-0.1211,-0.0802,-0.1211,-0.0802,0.1709,0.1715,0.1715,-0.0802,-0.0802,0.1715,0.1715,0.1715,-0.0802,0.1763,-0.1211,-0.0802,-0.0802,0.1715,-0.7062,-0.1211,0.1715,-0.0802,0.1763,0.1709,-0.1211,-0.0802,0.1715,0.1763,-0.1211,-0.0802,-0.0802,0.1715,0.1715,-0.0802
TCGA-18-3410-11A,0.021,0.0123,0.0252,0.269,0.021,0.0243,0.0054,0.021,0.0054,0.021,0.0243,0.0123,0.0252,0.021,0.021,-0.0082,0.0252,0.0123,0.021,0.1773,0.0054,0.021,0.021,0.0252,-0.0082,0.0054,0.0123,0.021,0.1773,0.0243,-0.2512,0.021,0.2246,0.269,0.0054,0.021,0.021,0.0252,-0.0082,-0.0813
TCGA-55-6979-11A,0.0152,0.0153,0.0153,0.0204,0.0152,0.0204,0.0153,0.0152,0.0133,0.0152,0.0204,-0.7743,0.0153,0.0152,0.0152,0.0137,0.0153,0.0153,0.0152,0.0158,0.0153,0.0152,0.0152,0.0153,0.0137,0.0153,0.0153,0.0152,0.0158,0.0204,0.0153,0.0152,0.0153,0.3316,0.0153,0.0152,0.0152,0.0153,0.0137,0.0152
TCGA-77-7140-01A,0.5789,0.8245,0.8245,0.6521,0.3483,0.6529,1.1538,0.5789,0.9847,0.3483,0.6529,0.364,0.8245,0.5789,0.5789,0.8484,0.8245,0.8245,0.3767,0.6521,1.1538,0.3483,0.5789,0.8245,0.5364,1.1837,1.0149,0.3483,0.6521,0.6529,1.3021,0.3767,0.8245,0.6521,1.1538,0.9755,0.3483,0.8245,0.8484,0.3767
TCGA-98-8020-01A,0.2073,0.223,0.223,0.2187,0.2009,0.2187,0.2442,0.2528,0.1766,0.2593,0.2187,0.3041,0.223,0.2528,0.2009,0.2301,0.223,0.223,0.2593,0.2187,0.2442,0.2009,0.2528,0.223,0.2301,0.2442,0.3041,0.2593,0.2187,0.2187,0.1742,0.2593,0.223,0.2187,0.2442,0.2073,0.2593,0.223,0.2301,0.2593
TCGA-05-4402-10A,0.017,0.0158,0.0158,0.0124,0.017,0.0124,0.0158,0.017,0.0122,0.017,0.0124,0.0158,0.0158,0.017,0.017,0.0158,0.0158,0.0158,0.017,0.0124,0.0158,0.017,0.017,0.0158,0.0158,0.0122,0.0158,0.017,0.0124,0.0124,0.0158,0.017,0.0158,0.0124,0.0158,0.017,0.017,0.0158,0.0158,0.017
TCGA-43-5668-10A,0.0042,0.0042,0.0042,0.4482,0.0042,0.0354,0.0042,0.0042,0.0042,0.0042,0.0354,0.0042,0.0042,0.0042,0.0042,0.0042,0.0042,0.0042,0.0042,0.0856,0.0042,0.0042,0.0042,0.0042,0.0042,0.0042,0.0042,0.0042,0.0856,0.0354,0.0042,0.0042,0.0042,0.4482,0.0042,0.0042,0.0042,0.0042,0.0042,0.0042
TCGA-55-7725-10A,-0.0004,-0.0039,-0.0039,0.4378,-0.0016,0.0028,-0.0039,-0.0016,-0.0039,-1.0794,0.0028,-0.0039,-0.0039,-0.0016,-0.0016,0.0025,-0.0039,-0.0039,0.0032,0.0023,-0.0039,-0.0016,-0.0016,-0.0039,0.0025,-0.0039,-0.0039,0.0032,0.0023,0.0028,-0.0039,0.0032,-0.0039,0.4378,-0.0039,-0.0004,-0.0016,-0.0039,0.0025,0.0032
TCGA-34-2609-01A,0.4592,0.116,0.116,-0.9948,0.421,0.1017,0.3079,0.4592,0.4531,0.477,0.1017,0.116,0.116,0.4277,0.4277,0.116,0.116,0.116,0.4753,0.1196,0.3079,0.421,0.4277,0.116,0.116,0.4531,0.116,0.477,0.1196,0.1017,0.3079,0.477,0.116,-0.9948,0.3079,0.4592,0.477,0.116,0.116,0.4753
TCGA-22-1012-11A,0.0195,0.0194,0.0194,0.6505,0.0195,0.0232,0.0232,0.0195,0.0232,0.0195,0.0232,0.0194,0.0194,0.0195,0.0195,0.0194,0.0194,0.0194,0.0195,0.0408,0.0232,0.0195,0.0195,0.0194,0.0194,0.0232,0.0194,0.0195,0.0408,0.0232,0.0232,0.0195,0.0194,0.0408,0.0232,0.0195,0.0195,0.0194,0.0194,0.0195
TCGA-55-8090-01A,-0.1176,-0.123,-0.1009,0.2141,-0.1176,-0.1245,-0.1055,-0.1176,-0.1055,-0.1176,-0.1245,-0.123,-0.123,-0.1176,-0.1176,-0.123,-0.1009,-0.123,-0.1176,-0.1265,-0.1055,-0.1176,-0.1176,-0.123,-0.123,-0.1055,-0.123,-0.1176,-0.1265,-0.1245,-0.1055,-0.1176,-0.123,0.2141,-0.1055,-0.1176,-0.1176,-0.123,-0.123,-0.1176
