"x"
"PDK4"
"GABRA3"
"VSIG2"
"C8B"
"ZIC2"
"COL17A1"
"PITX1"
"GAL"
"PPP2R2C"
"CPB2"
"PGC"
"SUSD2"
"TOX3"
"POU6F2"
"LHX2"
"KHDRBS2"
"SLC2A1"
"CHRNB4"
"SLC46A2"
"GJB6"
"TWIST1"
"SFTPA1"
"HOXC13"
"C4BPA"
"LRRN4"
"GNGT1"
"DUSP9"
"NR0B2"
"SFTPD"
"CAPN9"
"SCN7A"
"IL36RN"
"TFAP2A"
"GPR87"
"TICRR"
"CYP4B1"
"SYT14"
"NTRK2"
"GGTLC1"
"HMGA2"
"GRHL3"
"IGF2BP1"
"SCGB3A1"
"PIGR"
"SCGB3A2"
"WNK2"
"GJB2"
"E2F7"
"MS4A8"
"MS4A15"
"LY6D"
"KLK6"
"SFTPC"
"MUCL3"
"SHOX2"
"ATOH8"
"PLA2G1B"
"KRT13"
"AQP4"
"NDNF"
"GPX2"
"RIMS2"
"FOXE1"
"CFAP65"
"B4GALNT4"
"NXPH4"
"GKN2"
"SFTPA2"
"C12orf56"
"PRAME"
"KRT5"
"KRT16"
"DPPA3P2"
"ADH1B"
"MAGEA6"
"SERPINB2"
"MAP1LC3C"
"AKR1B10"
"CHIAP2"
"MUC21"
"TMEM213"
"AC116407.1"
"MAGEA3"
"SFTA1P"
"LINC01980"
"LINC01748"
"AKR1B15"
"ANKRD18B"
"AL033397.1"
"DLX6-AS1"
"AC005537.2"
"AC008268.1"
"KCNMB2-AS1"
"AC092969.1"
"RPS29P11"
"CASC8"
"C8orf34-AS1"
"AC093895.2"
"CASC9"
"AC079160.1"
"PCDHA12"
"HOXA10"
"BBOX1-AS1"
"LINC02489"
"AP004608.1"
"AC027288.1"
"AL162511.1"
"LINC00261"
"AP005230.1"
"AC010329.1"
"AC092071.1"
"AC236972.3"
"AP001972.5"
