"x"
"PDK4"
"ZMYND10"
"DLX6"
"CACNA2D2"
"GABRA3"
"GPRC5A"
"ATP1A2"
"VSIG2"
"C8B"
"HSD17B6"
"ARNTL2"
"HOXC8"
"C6"
"ZIC2"
"ROS1"
"POLQ"
"COL17A1"
"CLDN18"
"PITX1"
"ADGRF5"
"GAL"
"MCM2"
"PPP2R2C"
"SCTR"
"CPB2"
"CXCL2"
"LRP2"
"NKAIN1"
"IGSF9"
"RAD54L"
"TMPRSS11E"
"TPX2"
"SLC15A1"
"F11"
"TESC"
"LHX5"
"NOS1"
"BIRC5"
"APOH"
"RGS17"
"CDC45"
"PGC"
"DSP"
"IGFALS"
"SERPIND1"
"SUSD2"
"PLA2G3"
"GGTLC2"
"MYBL2"
"FERMT1"
"PAK5"
"FAM83D"
"SLC7A5"
"TOX3"
"RHOV"
"OIP5"
"CNTD2"
"CNFN"
"POU6F2"
"LHX2"
"CA9"
"ZBTB16"
"FOLR1"
"FOXM1"
"ART4"
"ADGRD1"
"FAM184A"
"KHDRBS2"
"TTK"
"CLIC5"
"HGD"
"COL7A1"
"TNNC1"
"CENPA"
"PRG4"
"SLC2A1"
"CHRNB4"
"SLC46A2"
"CSTA"
"GJB6"
"TWIST1"
"SFTPA1"
"HOXC13"
"HOXC11"
"C4BPA"
"DAW1"
"LYPD3"
"CEACAM8"
"TREM1"
"FOXA2"
"LRRN4"
"ATP13A4"
"AUNIP"
"GNGT1"
"DUSP9"
"RGN"
"KREMEN2"
"TNS4"
"NR0B2"
"ALDH3B2"
"SFTPD"
"PEBP4"
"CNTN6"
"CHIA"
"HMGCS2"
"VTCN1"
"FAM189A2"
"PSAT1"
"MRAP2"
"TROAP"
"CAPN9"
"SCEL"
"IGF2BP3"
"SCN7A"
"IL36G"
"IL36RN"
"DMRT1"
"TFAP2A"
"FGFBP2"
"BCL2L10"
"GPR87"
"SLC39A8"
"PTPRQ"
"ZIC5"
"SSTR1"
"TICRR"
"SH3GL3"
"MYOCD"
"PADI1"
"DMRTA2"
"CYP4B1"
"GPA33"
"SELENBP1"
"SYT14"
"LEFTY2"
"CNGA3"
"ZNF385B"
"TRPM8"
"UCN2"
"STXBP5L"
"ECE2"
"OTULINL"
"DCDC2"
"IGSF1"
"RGS20"
"GSDMC"
"NTRK2"
"INA"
"SLC5A12"
"GGTLC1"
"HMGA2"
"MMP3"
"SPOCK1"
"SLC16A12"
"ACOXL"
"ADGRF4"
"C16orf89"
"CYP4Z2P"
"UCHL1"
"PGM5"
"WNT3A"
"SKA1"
"ADCY8"
"TMEM171"
"GRHL3"
"ESYT3"
"CATIP"
"HOXB13"
"IGF2BP1"
"PGLYRP3"
"DRC7"
"RSPH1"
"COX6B2"
"LY6K"
"SCGB3A1"
"FGF11"
"LRRC52"
"PIGR"
"NOSTRIN"
"ALPP"
"IHH"
"CIP2A"
"SLC6A20"
"MELTF"
"HPGD"
"SCGB3A2"
"DLC1"
"EN2"
"FBP1"
"WNK2"
"GJB2"
"E2F7"
"HTR3A"
"MS4A8"
"MS4A15"
"LY6D"
"KLK6"
"ABCA3"
"PLAAT5"
"GNG4"
"LGI3"
"SFTPC"
"MUCL3"
"SHOX2"
"ATOH8"
"COL4A3"
"RAB3B"
"SHE"
"STK32A"
"ONECUT1"
"CTNND2"
"FAXDC2"
"CST5"
"KRT4"
"SIX2"
"TTLL6"
"PLA2G1B"
"SOSTDC1"
"KRT13"
"KNDC1"
"AQP4"
"AZU1"
"FADS6"
"OVOL1"
"ADAMTS20"
"SYT12"
"NDNF"
"CBY2"
"CNTNAP2"
"IL20RB"
"WFDC5"
"CST6"
"GRAMD2A"
"LPL"
"GPX2"
"RIMS2"
"PRDM16-DT"
"AC024940.2"
"SRRM3"
"RIIAD1"
"FOXE1"
"ALOX15B"
"APOBEC3B"
"FAM216B"
"C1orf194"
"B3GNT3"
"S1PR5"
"HOXC10"
"OFCC1"
"CFAP65"
"B4GALNT4"
"NXPH4"
"CABCOCO1"
"GKN2"
"UMODL1-AS1"
"SFTPA2"
"C12orf56"
"FAM131C"
"PRAME"
"KRT5"
"KIF18B"
"FFAR4"
"SLC51B"
"KRT16"
"NPSR1"
"FYB2"
"DMBT1"
"SNTN"
"DPPA3P2"
"AC069277.1"
"ALG1L"
"KIAA0408"
